Abbrev,State,Census Grouping,Civil War Grouping,2020 EC votes,2020 Votes counted,2020 Vote weight,2020 Vote margin,2020 Swing weight,2020 Party,2021 EC votes,2021 Votes counted,2021 Vote weight,2021 Vote margin,2021 Swing weight,2021 Party
AL,Alabama,South,Confederate,9,2323282,1.14,-591546,-4.48,Republican,9,2323282,1.14,-591546,-4.48,Republican
AK,Alaska,West,Postbellum,3,359530,2.46,-36173,-24.42,Republican,3,359530,2.46,-36173,-24.42,Republican
AZ,Arizona,West,Postbellum,11,3387326,0.96,10457,309.68,Democrat,11,3387326,0.96,10457,309.68,Democrat
AR,Arkansas,South,Confederate,6,1219069,1.45,-336715,-5.25,Republican,6,1219069,1.45,-336715,-5.25,Republican
CA,California,West,Union,55,17500871,0.93,5103821,3.17,Democrat,54,17500871,0.91,5103821,3.11,Democrat
CO,Colorado,West,Postbellum,9,3256980,0.81,439745,6.03,Democrat,10,3256980,0.90,439745,6.69,Democrat
CT,Connecticut,Northeast,Union,7,1824273,1.13,365389,5.64,Democrat,7,1824273,1.13,365389,5.64,Democrat
DE,Delaware,South,Border,3,504346,1.75,95665,9.23,Democrat,3,504346,1.75,95665,9.23,Democrat
DC,District of Columbia,South,Union,3,344356,2.56,298737,2.96,Democrat,3,344356,2.56,298737,2.96,Democrat
FL,Florida,South,Confederate,29,11067456,0.77,-371686,-22.97,Republican,30,11067456,0.80,-371686,-23.76,Republican
GA,Georgia,South,Confederate,16,4997716,0.94,11779,399.88,Democrat,16,4997716,0.94,11779,399.88,Democrat
HI,Hawaii,West,Postbellum,4,574469,2.05,169266,6.96,Democrat,4,574469,2.05,169266,6.96,Democrat
ID,Idaho,West,Postbellum,4,867884,1.36,-267098,-4.41,Republican,4,867884,1.36,-267098,-4.41,Republican
IL,Illinois,Midwest,Union,20,6033744,0.98,1025024,5.74,Democrat,19,6033744,0.93,1025024,5.46,Democrat
IN,Indiana,Midwest,Union,11,3033112,1.07,-487103,-6.65,Republican,11,3033112,1.07,-487103,-6.65,Republican
