Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Vote weight,Vote margin,Swing weight,Party,EC diff positive,EC diff negative,VW diff positive,VW diff negative
AL,Alabama,South,2020,9,2323282,2648541,1.47,7.89,258142,1.14,-591546,-4.48,Trump,,,,
AK,Alaska,West,2020,3,359530,884444,0.23,1.22,119843,2.46,-36173,-24.42,Trump,,,,
AZ,Arizona,West,2020,11,3387326,3251833,2.14,11.51,307939,0.96,10457,309.68,Biden,,,,
AR,Arkansas,South,2020,6,1219069,1767650,0.77,4.14,203178,1.45,-336715,-5.25,Trump,,,,
CA,California,West,2020,55,17500871,16275810,11.05,59.45,318198,0.93,5103821,3.17,Biden,,55,,0.93
CO,Colorado,West,2020,9,3256980,2638154,2.06,11.06,361887,0.81,439745,6.03,Biden,9,,0.81,
CT,Connecticut,Northeast,2020,7,1824273,2061428,1.15,6.2,260610,1.13,365389,5.64,Biden,,,,
DE,Delaware,South,2020,3,504346,882606,0.32,1.71,168115,1.75,95665,9.23,Biden,,,,
DC,District of Columbia,South,2020,3,344356,881551,0.22,1.17,114785,2.56,298737,2.96,Biden,,,,
FL,Florida,South,2020,29,11067456,8521941,6.99,37.59,381636,0.77,-371686,-22.97,Trump,29,,0.77,
GA,Georgia,South,2020,16,4997716,4697853,3.16,16.98,312357,0.94,11779,399.88,Biden,,,,
HI,Hawaii,West,2020,4,574469,1177661,0.36,1.95,143617,2.05,169266,6.96,Biden,,,,
ID,Idaho,West,2020,4,867884,1180322,0.55,2.95,216971,1.36,-267098,-4.41,Trump,,,,
IL,Illinois,Midwest,2020,20,6033744,5913069,3.81,20.5,301687,0.98,1025024,5.74,Biden,,20,,0.98
IN,Indiana,Midwest,2020,11,3033112,3245430,1.92,10.3,275737,1.07,-487103,-6.65,Trump,,,,
IA,Iowa,Midwest,2020,6,1690871,1758506,1.07,5.74,281812,1.04,-138611,-12.74,Trump,,,,
KS,Kansas,Midwest,2020,6,1372303,1770271,0.87,4.66,228717,1.29,-201083,-8.78,Trump,,,,
KY,Kentucky,South,2020,8,2136768,2350445,1.35,7.26,267096,1.1,-554172,-4.25,Trump,,,,
LA,Louisiana,South,2020,8,2148062,2362868,1.36,7.3,268508,1.1,-399742,-5.89,Trump,,,,
ME,Maine,Northeast,2020,4,819461,1180024,0.52,2.78,204865,1.44,74335,,Biden,,,,
MD,Maryland,South,2020,10,3037030,2945919,1.92,10.32,303703,0.97,1008609,2.92,Biden,,,,
MA,Massachusetts,Northeast,2020,11,3631402,3231948,2.29,12.34,330127,0.89,1215000,2.67,Biden,,,,
MI,Michigan,Midwest,2020,16,5539302,4708407,3.5,18.82,346206,0.85,154188,30.55,Biden,,16,,0.85
MN,Minnesota,Midwest,2020,10,3277171,2949454,2.07,11.13,327717,0.9,233012,12.63,Biden,,,,
MS,Mississippi,South,2020,6,1313894,1760618,0.83,4.46,218982,1.34,-217281,-8.13,Trump,,,,
MO,Missouri,Midwest,2020,10,3025962,2935183,1.91,10.28,302596,0.97,-465722,-6.32,Trump,,,,
MT,Montana,West,2020,3,603674,881364,0.38,2.05,201225,1.46,-98816,-8.94,Trump,3,,1.46,
NE,Nebraska,Midwest,2020,5,956383,1472830,0.6,3.25,191277,1.54,-182263,,Trump,,,,
NV,Nevada,West,2020,6,1405376,1770774,0.89,4.77,234229,1.26,33596,52.58,Biden,,,,
NH,New Hampshire,Northeast,2020,4,806182,1177026,0.51,2.74,201546,1.46,59267,19.87,Biden,,,,
NJ,New Jersey,Northeast,2020,14,4549353,4139911,2.87,15.45,324954,0.91,725061,5.68,Biden,,,,
NM,New Mexico,West,2020,5,923965,1469104,0.58,3.14,184793,1.59,99720,14.76,Biden,,,,
