,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
0,Border,1824,28.0,59825,39484.0,16.35,42.67,2137.0,0.66,3,"KY,MD,MO"
1,Confederate,1824,58.0,90702,81632.0,24.79,64.69,1564.0,0.9,5,"AL,MS,NC,TN,VA"
2,Union,1824,104.0,215242,146365.0,58.82,153.52,2070.0,0.68,10,"CT,IL,IN,ME,MA,NH,NJ,OH,PA,RI"
3,Postbellum,1824,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
4,Border,1828,28.0,128226,123097.0,11.17,29.15,4580.0,0.96,3,"KY,MD,MO"
5,Confederate,1828,72.0,192857,316285.0,16.8,43.84,2679.0,1.64,7,"AL,GA,LA,MS,NC,TN,VA"
6,Union,1828,147.0,826935,645009.0,72.03,187.98,5625.0,0.78,12,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
7,Postbellum,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
8,Border,1832,32.0,131635,142166.0,10.31,29.69,4114.0,1.08,4,"DE,KY,MD,MO"
9,Confederate,1832,80.0,152034,354239.0,11.91,34.3,1900.0,2.33,7,"AL,GA,LA,MS,NC,TN,VA"
10,Union,1832,165.0,1000051,730037.0,78.33,225.59,6061.0,0.73,12,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
11,Postbellum,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
12,Border,1836,32.0,145436,162888.0,9.68,28.45,4545.0,1.12,4,"DE,KY,MD,MO"
13,Confederate,1836,83.0,282068,423102.0,18.77,55.18,3398.0,1.5,8,"AL,AR,GA,LA,MS,NC,TN,VA"
14,Union,1836,168.0,1075262,860210.0,71.55,210.34,6400.0,0.8,13,"CT,IL,IN,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT"
15,Postbellum,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
16,Border,1840,32.0,217159,262762.0,9.0,26.46,6786.0,1.21,4,"DE,KY,MD,MO"
17,Confederate,1840,83.0,477383,682658.0,19.79,58.17,5752.0,1.43,8,"AL,AR,GA,LA,MS,NC,TN,VA"
18,Union,1840,168.0,1718152,1374522.0,71.21,209.38,10227.0,0.8,13,"CT,IL,IN,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT"
19,Postbellum,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
20,Border,1844,30.0,270324,294653.0,10.0,27.49,9011.0,1.09,4,"DE,KY,MD,MO"
21,Confederate,1844,75.0,534686,737867.0,19.77,54.38,7129.0,1.38,8,"AL,AR,GA,LA,MS,NC,TN,VA"
22,Union,1844,161.0,1902482,1579060.0,70.36,193.5,11817.0,0.83,13,"CT,IL,IN,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT"
23,Postbellum,1844,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
24,Border,1848,30.0,274395,296347.0,9.54,27.66,9146.0,1.08,4,"DE,KY,MD,MO"
25,Confederate,1848,82.0,573855,814874.0,19.95,57.85,6998.0,1.42,10,"AL,AR,FL,GA,LA,MS,NC,TN,TX,VA"
26,Union,1848,169.0,2028529,1683679.0,70.51,204.49,12003.0,0.83,15,"CT,IL,IN,IA,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT,WI"
27,Postbellum,1848,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
28,Border,1852,32.0,268237,340661.0,8.49,25.13,8382.0,1.27,4,"DE,KY,MD,MO"
29,Confederate,1852,80.0,559397,855877.0,17.7,52.41,6992.0,1.53,10,"AL,AR,FL,GA,LA,MS,NC,TN,TX,VA"
30,Union,1852,176.0,2331526,1888536.0,73.79,218.43,13247.0,0.81,16,"CA,CT,IL,IN,IA,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT,WI"
31,Postbellum,1852,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
32,Border,1856,32.0,349993,437491.0,8.64,25.57,10937.0,1.25,4,"DE,KY,MD,MO"
33,Confederate,1856,80.0,736240,1096998.0,18.17,53.79,9203.0,1.49,10,"AL,AR,FL,GA,LA,MS,NC,TN,TX,VA"
34,Union,1856,176.0,2965353,2401936.0,73.19,216.64,16849.0,0.81,16,"CA,CT,IL,IN,IA,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT,WI"
35,Postbellum,1856,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
36,Border,1860,32.0,420396,496067.0,8.98,27.21,13137.0,1.18,4,"DE,KY,MD,MO"
37,Confederate,1860,80.0,856610,1233518.0,18.3,55.44,10708.0,1.44,10,"AL,AR,FL,GA,LA,MS,NC,TN,TX,VA"
38,Union,1860,183.0,3404325,2825590.0,72.72,220.34,18603.0,0.83,18,"CA,CT,IL,IN,IA,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
39,Postbellum,1860,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
40,Border,1864,37.0,321125,639039.0,7.96,18.56,8679.0,1.99,5,"DE,KY,MD,MO,WV"
41,Postbellum,1864,2.0,16420,34646.0,0.41,0.95,8210.0,2.11,1,NV
42,Union,1864,194.0,3694315,3361827.0,91.63,213.49,19043.0,0.91,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
43,Confederate,1864,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
44,Border,1868,37.0,468630,721690.0,8.19,24.08,12666.0,1.54,5,"DE,KY,MD,MO,WV"
45,Confederate,1868,54.0,835881,1053210.0,14.61,42.94,15479.0,1.26,7,"AL,AR,GA,LA,NC,SC,TN"
46,Postbellum,1868,6.0,26989,116862.0,0.47,1.39,4498.0,4.33,2,"NE,NV"
47,Union,1868,194.0,4391316,3776532.0,76.74,225.61,22636.0,0.86,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
48,Border,1872,43.0,682930,758052.0,10.55,38.62,15882.0,1.11,5,"DE,KY,MD,MO,WV"
49,Confederate,1872,95.0,1420711,1676439.0,21.95,80.34,14955.0,1.18,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
50,Postbellum,1872,6.0,40581,105916.0,0.63,2.29,6764.0,2.61,2,"NE,NV"
51,Union,1872,222.0,4327761,3938263.0,66.87,244.74,19494.0,0.91,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
52,Border,1876,43.0,898775,979665.0,10.68,39.39,20902.0,1.09,5,"DE,KY,MD,MO,WV"
53,Confederate,1876,95.0,1831890,2161630.0,21.76,80.29,19283.0,1.18,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
54,Postbellum,1876,6.0,69019,136658.0,0.82,3.03,11503.0,1.98,2,"NE,NV"
55,Union,1876,222.0,5618975,5057078.0,66.74,246.28,25311.0,0.9,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
56,Border,1880,43.0,982695,1071138.0,10.66,39.33,22853.0,1.09,5,"DE,KY,MD,MO,WV"
57,Confederate,1880,95.0,1796383,2371226.0,19.48,71.9,18909.0,1.32,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
58,Postbellum,1880,9.0,159343,224674.0,1.73,6.38,17705.0,1.41,3,"CO,NE,NV"
59,Union,1880,222.0,6282760,5528829.0,68.15,251.46,28301.0,0.88,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
60,Border,1884,46.0,1065897,1151169.0,10.6,42.49,23172.0,1.08,5,"DE,KY,MD,MO,WV"
61,Confederate,1884,107.0,1944518,2683435.0,19.33,77.51,18173.0,1.38,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
62,Postbellum,1884,11.0,213518,275438.0,2.12,8.51,19411.0,1.29,3,"CO,NE,NV"
63,Union,1884,237.0,6836212,5947504.0,67.95,272.49,28845.0,0.87,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
64,Border,1888,46.0,1266373,1304364.0,11.12,44.59,27530.0,1.03,5,"DE,KY,MD,MO,WV"
65,Confederate,1888,107.0,2104110,3029918.0,18.48,74.09,19665.0,1.44,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
66,Postbellum,1888,11.0,306856,312993.0,2.69,10.8,27896.0,1.02,3,"CO,NE,NV"
67,Union,1888,237.0,7711507,6709011.0,67.71,271.52,32538.0,0.87,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
68,Border,1892,47.0,1304036,1277955.0,10.81,47.98,27745.0,0.98,5,"DE,KY,MD,MO,WV"
69,Confederate,1892,112.0,2137554,3035327.0,17.71,78.64,19085.0,1.42,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
70,Postbellum,1892,35.0,580164,951469.0,4.81,21.35,16576.0,1.64,9,"CO,ID,MT,NE,NV,ND,SD,WA,WY"
71,Union,1892,250.0,8046273,6758869.0,66.67,296.04,32185.0,0.84,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
72,Border,1896,47.0,1610296,1465369.0,11.55,51.64,34262.0,0.91,5,"DE,KY,MD,MO,WV"
73,Confederate,1896,112.0,2284170,3494780.0,16.39,73.25,20394.0,1.53,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
74,Postbellum,1896,38.0,829121,1185643.0,5.95,26.59,21819.0,1.43,10,"CO,ID,MT,NE,NV,ND,SD,UT,WA,WY"
75,Union,1896,250.0,9215087,7832824.0,66.11,295.52,36860.0,0.85,19,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NH,NJ,NY,OH,OR,PA,RI,VT,WI"
76,Border,1900,47.0,1679140,1477643.0,12.0,53.62,35726.0,0.88,5,"DE,KY,MD,MO,WV"
77,Confederate,1900,112.0,1880682,3498069.0,13.44,60.06,16792.0,1.86,11,"AL,AR,FL,GA,LA,MS,NC,SC,TN,TX,VA"
