,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Vote weight,Party
0,AL,Alabama,Confederate,1824,5.0,13603,9658.0,3.72,9.7,2721.0,0.71,Democratic-Republican-Jackson
1,CT,Connecticut,Union,1824,8.0,10647,15438.0,2.91,7.59,1331.0,1.45,Democratic-Republican-Adams
2,DE,Delaware,Border,1824,3.0,0,,0.0,0.0,0.0,,split
3,GA,Georgia,Confederate,1824,9.0,0,,0.0,0.0,0.0,,Democratic-Republican-Crawford
4,IL,Illinois,Union,1824,3.0,4671,5792.0,1.28,3.33,1557.0,1.24,split
5,IN,Indiana,Union,1824,5.0,15753,9609.0,4.3,11.24,3151.0,0.61,Democratic-Republican-Jackson
6,KY,Kentucky,Border,1824,14.0,23338,27072.0,6.38,16.65,1667.0,1.16,Democratic-Republican-Clay
7,LA,Louisiana,Confederate,1824,5.0,0,,0.0,0.0,0.0,,split
8,ME,Maine,Union,1824,9.0,12625,17296.0,3.45,9.0,1403.0,1.37,Democratic-Republican-Adams
9,MD,Maryland,Border,1824,11.0,33214,21257.0,9.08,23.69,3019.0,0.64,split
10,MA,Massachusetts,Union,1824,15.0,42056,29019.0,11.49,30.0,2804.0,0.69,Democratic-Republican-Adams
11,MS,Mississippi,Confederate,1824,3.0,4894,5775.0,1.34,3.49,1631.0,1.18,Democratic-Republican-Jackson
12,MO,Missouri,Border,1824,3.0,3273,5793.0,0.89,2.33,1091.0,1.77,Democratic-Republican-Clay
13,NH,New Hampshire,Union,1824,8.0,10032,15449.0,2.74,7.16,1254.0,1.54,Democratic-Republican-Adams
14,NJ,New Jersey,Union,1824,8.0,19837,15473.0,5.42,14.15,2480.0,0.78,Democratic-Republican-Jackson
15,NY,New York,Union,1824,36.0,0,,0.0,0.0,0.0,,split
16,NC,North Carolina,Confederate,1824,15.0,36109,28887.0,9.87,25.76,2407.0,0.8,Democratic-Republican-Jackson
17,OH,Ohio,Union,1824,16.0,50024,31015.0,13.67,35.68,3126.0,0.62,Democratic-Republican-Clay
18,PA,Pennsylvania,Union,1824,28.0,47252,53867.0,12.91,33.7,1688.0,1.14,Democratic-Republican-Jackson
19,RI,Rhode Island,Union,1824,4.0,2345,7715.0,0.64,1.67,586.0,3.29,Democratic-Republican-Adams
20,SC,South Carolina,Confederate,1824,11.0,0,,0.0,0.0,0.0,,Democratic-Republican-Jackson
21,TN,Tennessee,Confederate,1824,11.0,20725,21140.0,5.66,14.78,1884.0,1.02,Democratic-Republican-Jackson
22,VT,Vermont,Union,1824,7.0,0,,0.0,0.0,0.0,,Democratic-Republican-Adams
23,VA,Virginia,Confederate,1824,24.0,15371,46267.0,4.2,10.96,640.0,3.01,Democratic-Republican-Crawford
24,,,Postbellum,1824,0.0,0,0.0,0.0,0.0,0.0,0.0,
25,AL,Alabama,Confederate,1828,5.0,18618,23272.0,1.62,4.23,3724.0,1.25,Democrat
26,CT,Connecticut,Union,1828,8.0,19378,37206.0,1.69,4.41,2422.0,1.92,National Republican
27,DE,Delaware,Border,1828,3.0,0,,0.0,0.0,0.0,,National Republican
28,GA,Georgia,Confederate,1828,9.0,20004,41808.0,1.74,4.55,2223.0,2.09,Democrat
29,IL,Illinois,Union,1828,3.0,14222,13938.0,1.24,3.23,4741.0,0.98,Democrat
30,IN,Indiana,Union,1828,5.0,39210,23134.0,3.42,8.91,7842.0,0.59,Democrat
31,KY,Kentucky,Border,1828,14.0,70776,65114.0,6.17,16.09,5055.0,0.92,Democrat
32,LA,Louisiana,Confederate,1828,5.0,8687,23281.0,0.76,1.97,1737.0,2.68,Democrat
33,ME,Maine,Union,1828,9.0,34789,41747.0,3.03,7.91,3865.0,1.2,National Republican
34,MD,Maryland,Border,1828,11.0,45796,51292.0,3.99,10.41,4163.0,1.12,National Republican
35,MA,Massachusetts,Union,1828,15.0,39074,69552.0,3.4,8.88,2605.0,1.78,National Republican
36,MS,Mississippi,Confederate,1828,3.0,8344,13934.0,0.73,1.9,2781.0,1.67,Democrat
37,MO,Missouri,Border,1828,3.0,11654,13985.0,1.02,2.65,3885.0,1.2,Democrat
38,NH,New Hampshire,Union,1828,8.0,44035,36989.0,3.84,10.01,5504.0,0.84,National Republican
39,NJ,New Jersey,Union,1828,8.0,45570,37367.0,3.97,10.36,5696.0,0.82,National Republican
40,NY,New York,Union,1828,36.0,270975,168004.0,23.6,61.6,7527.0,0.62,Democrat
41,NC,North Carolina,Confederate,1828,15.0,51747,69858.0,4.51,11.76,3450.0,1.35,Democrat
42,OH,Ohio,Union,1828,16.0,131049,74698.0,11.42,29.79,8191.0,0.57,Democrat
43,PA,Pennsylvania,Union,1828,28.0,152220,129387.0,13.26,34.6,5436.0,0.85,Democrat
44,RI,Rhode Island,Union,1828,4.0,3580,18580.0,0.31,0.81,895.0,5.19,National Republican
45,SC,South Carolina,Confederate,1828,11.0,0,,0.0,0.0,0.0,,Democrat
46,TN,Tennessee,Confederate,1828,11.0,46533,51186.0,4.05,10.58,4230.0,1.1,Democrat
47,VT,Vermont,Union,1828,7.0,32833,32505.0,2.86,7.46,4690.0,0.99,National Republican
48,VA,Virginia,Confederate,1828,24.0,38924,111712.0,3.39,8.85,1622.0,2.87,Democrat
49,,,Postbellum,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,
50,AL,Alabama,Confederate,1832,7.0,14291,32298.0,1.12,3.1,2042.0,2.26,Democrat
51,CT,Connecticut,Union,1832,8.0,32833,36773.0,2.57,7.12,4104.0,1.12,National Republican
52,DE,Delaware,Border,1832,3.0,8386,13837.0,0.66,1.82,2795.0,1.65,National Republican
53,GA,Georgia,Confederate,1832,11.0,20750,50630.0,1.63,4.5,1886.0,2.44,Democrat
54,IL,Illinois,Union,1832,5.0,21481,22985.0,1.68,4.66,4296.0,1.07,Democrat
55,IN,Indiana,Union,1832,9.0,47023,41380.0,3.68,10.2,5225.0,0.88,Democrat
56,KY,Kentucky,Border,1832,15.0,79741,69375.0,6.25,17.3,5316.0,0.87,National Republican
57,LA,Louisiana,Confederate,1832,5.0,6337,23067.0,0.5,1.37,1267.0,3.64,Democrat
58,ME,Maine,Union,1832,10.0,62153,45993.0,4.87,13.49,6215.0,0.74,Democrat
59,MD,Maryland,Border,1832,10.0,38316,45979.0,3.0,8.31,3832.0,1.2,National Republican
60,MA,Massachusetts,Union,1832,14.0,67619,64238.0,5.3,14.67,4830.0,0.95,National Republican
61,MS,Mississippi,Confederate,1832,4.0,5750,18458.0,0.45,1.25,1438.0,3.21,Democrat
62,MO,Missouri,Border,1832,4.0,5192,18432.0,0.41,1.13,1298.0,3.55,Democrat
63,NH,New Hampshire,Union,1832,7.0,43793,32407.0,3.43,9.5,6256.0,0.74,Democrat
64,NJ,New Jersey,Union,1832,8.0,47760,36775.0,3.74,10.36,5970.0,0.77,Democrat
