,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
0,Border,1800,10.0,20705,15943.0,27.6,12.97,2070.0,0.77,1,MD
1,Confederate,1800,33.0,49795,52783.0,66.38,31.2,1509.0,1.06,2,"NC,VA"
2,Small,1800,4.0,4512,6362.0,6.02,2.83,1128.0,1.41,1,RI
3,Union,1800,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
4,Postbellum,1800,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
5,Nat'l Average,1800,47.0,67282,67282.0,100.0,47.0,1596.0,1.0,16,4 of 16 held popular vote
6,Border,1804,19.0,14679,22312.0,10.19,12.54,773.0,1.52,2,"KY,MD"
7,Confederate,1804,38.0,15179,44474.0,10.54,12.96,399.0,2.93,2,"NC,VA"
8,Small,1804,12.0,5047,14031.0,3.5,4.31,421.0,2.78,3,"OH,RI,TN"
9,Union,1804,54.0,109175,63321.0,75.77,93.23,2022.0,0.58,4,"MA,NH,NJ,PA"
10,Postbellum,1804,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
11,Nat'l Average,1804,123.0,144080,144080.0,100.0,123.0,1171.0,1.0,17,11 of 17 held popular vote
12,Border,1808,18.0,26955,33424.0,14.08,14.5,1498.0,1.24,2,"KY,MD"
13,Confederate,1808,38.0,37232,70741.0,19.45,20.03,980.0,1.9,2,"NC,VA"
14,Small,1808,12.0,12784,22244.0,6.68,6.88,1065.0,1.74,3,"OH,RI,TN"
15,Union,1808,35.0,114488,65258.0,59.8,61.59,3271.0,0.57,3,"NH,NJ,PA"
16,Postbellum,1808,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
17,Nat'l Average,1808,103.0,192691,192691.0,100.0,103.0,1859.0,1.0,17,10 of 17 held popular vote
18,Border,1812,23.0,36072,53747.0,13.51,15.4,1568.0,1.49,2,"KY,MD"
19,Confederate,1812,25.0,20711,58612.0,7.76,8.84,828.0,2.83,1,VA
20,Small,1812,4.0,6116,9357.0,2.29,2.61,1529.0,1.53,1,RI
21,Union,1812,62.0,204129,144932.0,76.44,87.16,3292.0,0.71,4,"MA,NH,OH,PA"
22,Postbellum,1812,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
23,Nat'l Average,1812,114.0,278786,278786.0,100.0,114.0,2342.0,1.0,18,8 of 18 held popular vote
24,Border,1816,23.0,12360,22124.0,11.09,12.86,537.0,1.79,2,"KY,MD"
25,Confederate,1816,40.0,16570,38442.0,14.86,17.24,414.0,2.32,2,"NC,VA"
26,Small,1816,4.0,1236,3844.0,1.11,1.29,309.0,3.11,1,RI
27,Union,1816,49.0,81323,47167.0,72.94,84.62,1660.0,0.58,4,"NH,NJ,OH,PA"
28,Postbellum,1816,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
29,Nat'l Average,1816,116.0,112370,112370.0,100.0,116.0,961.0,1.0,19,9 of 19 held popular vote
30,Border,1820,23.0,9714,15154.0,9.1,14.74,422.0,1.56,2,"KY,MD"
31,Confederate,1820,48.0,9353,31613.0,8.77,14.19,195.0,3.38,3,"NC,TN,VA"
32,Small,1820,10.0,2657,6589.0,2.49,4.03,266.0,2.48,3,"IL,MS,RI"
33,Union,1820,81.0,84974,53534.0,79.64,128.94,1049.0,0.63,7,"CT,ME,MA,NH,NJ,OH,PA"
34,Postbellum,1820,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
35,Nat'l Average,1820,162.0,108359,108359.0,100.0,162.0,659.0,1.0,24,15 of 24 held popular vote
36,Border,1824,25.0,56552,48069.0,15.45,29.36,2262.0,0.85,2,"KY,MD"
37,Confederate,1824,50.0,72205,96033.0,19.73,37.49,1444.0,1.33,3,"NC,TN,VA"
38,Small,1824,23.0,44539,44094.0,12.17,23.13,1936.0,0.99,6,"AL,IL,IN,MS,MO,RI"
39,Union,1824,92.0,192473,177075.0,52.6,99.93,2092.0,0.92,7,"CT,ME,MA,NH,NJ,OH,PA"
40,Postbellum,1824,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
41,Nat'l Average,1824,190.0,365928,365928.0,100.0,190.0,1926.0,1.0,24,18 of 24 held popular vote
42,Border,1828,25.0,116572,116572.0,10.15,25.08,4663.0,1.0,2,"KY,MD"
43,Confederate,1828,59.0,157208,273542.0,13.69,33.82,2665.0,1.74,4,"GA,NC,TN,VA"
44,Small,1828,28.0,104315,130394.0,9.09,22.44,3726.0,1.25,7,"AL,IL,IN,LA,MS,MO,RI"
45,Union,1828,135.0,769923,623638.0,67.07,165.65,5703.0,0.81,9,"CT,ME,MA,NH,NJ,NY,OH,PA,VT"
46,Postbellum,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
47,Nat'l Average,1828,247.0,1148018,1148018.0,100.0,247.0,4648.0,1.0,24,22 of 24 held popular vote
48,Border,1832,25.0,118057,115696.0,9.25,25.61,4722.0,0.98,2,"KY,MD"
49,Confederate,1832,71.0,139947,327476.0,10.96,30.36,1971.0,2.34,5,"AL,GA,NC,TN,VA"
50,Small,1832,25.0,52082,115101.0,4.08,11.3,2083.0,2.21,6,"DE,IL,LA,MS,MO,RI"
51,Union,1832,156.0,973634,720489.0,76.26,211.25,6241.0,0.74,10,"CT,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
52,Postbellum,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
53,Nat'l Average,1832,277.0,1276659,1276659.0,100.0,277.0,4609.0,1.0,24,23 of 24 held popular vote
54,Border,1836,25.0,118209,132394.0,7.87,22.26,4728.0,1.12,2,"KY,MD"
55,Confederate,1836,71.0,250850,376275.0,16.69,47.24,3533.0,1.5,5,"AL,GA,NC,TN,VA"
56,Small,1836,31.0,110375,164459.0,7.34,20.79,3560.0,1.49,8,"AR,DE,IL,LA,MI,MS,MO,RI"
57,Union,1836,156.0,1023332,828899.0,68.09,192.72,6560.0,0.81,10,"CT,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
58,Postbellum,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
59,Nat'l Average,1836,283.0,1502811,1502811.0,100.0,283.0,5310.0,1.0,26,25 of 26 held popular vote
60,Border,1840,25.0,153384,213204.0,6.36,17.99,6135.0,1.39,2,"KY,MD"
61,Confederate,1840,71.0,410107,606958.0,17.0,48.11,5776.0,1.48,5,"AL,GA,NC,TN,VA"
62,Small,1840,31.0,277197,263337.0,11.49,32.52,8942.0,0.95,8,"AR,DE,IL,LA,MI,MS,MO,RI"
63,Union,1840,156.0,1572006,1336205.0,65.16,184.4,10077.0,0.85,10,"CT,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
64,Postbellum,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
65,Nat'l Average,1840,283.0,2412694,2412694.0,100.0,283.0,8525.0,1.0,26,25 of 26 held popular vote
66,Border,1844,27.0,258077,273562.0,9.54,25.39,9558.0,1.06,3,"KY,MD,MO"
67,Confederate,1844,72.0,519536,732546.0,19.21,51.11,7216.0,1.41,7,"AL,GA,LA,MS,NC,TN,VA"
68,Small,1844,15.0,95444,152710.0,3.53,9.39,6363.0,1.6,4,"AR,DE,MI,RI"
69,Union,1844,152.0,1834435,1540925.0,67.84,180.47,12069.0,0.84,11,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
70,Postbellum,1844,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
71,Nat'l Average,1844,266.0,2703864,2703864.0,100.0,266.0,10165.0,1.0,26,25 of 26 held popular vote
72,Border,1848,27.0,261972,277690.0,9.11,25.59,9703.0,1.06,3,"KY,MD,MO"
73,Confederate,1848,72.0,534587,737730.0,18.58,52.22,7425.0,1.38,7,"AL,GA,LA,MS,NC,TN,VA"
74,Small,1848,30.0,189365,306771.0,6.58,18.5,6312.0,1.62,8,"AR,DE,FL,IA,MI,RI,TX,WI"
75,Union,1848,152.0,1890855,1550501.0,65.73,184.69,12440.0,0.82,11,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
76,Postbellum,1848,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
77,Nat'l Average,1848,281.0,2876818,2876818.0,100.0,281.0,10238.0,1.0,30,29 of 30 held popular vote
78,Border,1852,29.0,255564,316899.0,8.09,23.29,8813.0,1.24,3,"KY,MD,MO"
79,Confederate,1852,69.0,514080,755698.0,16.27,46.86,7450.0,1.47,7,"AL,GA,LA,MS,NC,TN,VA"
80,Small,1852,41.0,346276,450159.0,10.96,31.56,8446.0,1.3,10,"AR,CA,DE,FL,IA,NH,RI,TX,VT,WI"
81,Union,1852,149.0,2043240,1634592.0,64.67,186.24,13713.0,0.8,10,"CT,IL,IN,ME,MA,MI,NJ,NY,OH,PA"
82,Postbellum,1852,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
83,Nat'l Average,1852,288.0,3159640,3159640.0,100.0,288.0,10971.0,1.0,31,30 of 31 held popular vote
84,Border,1856,29.0,335404,409193.0,8.28,23.84,11566.0,1.22,3,"KY,MD,MO"
85,Confederate,1856,69.0,645599,968398.0,15.93,45.89,9357.0,1.5,7,"AL,GA,LA,MS,NC,TN,VA"
86,Small,1856,41.0,567651,579004.0,14.01,40.35,13845.0,1.02,10,"AR,CA,DE,FL,IA,NH,RI,TX,VT,WI"
87,Union,1856,149.0,2502932,2102463.0,61.78,177.92,16798.0,0.84,10,"CT,IL,IN,ME,MA,MI,NJ,NY,OH,PA"
88,Postbellum,1856,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
89,Nat'l Average,1856,288.0,4051605,4051605.0,100.0,288.0,14068.0,1.0,31,30 of 31 held popular vote
90,Border,1860,29.0,404281,460880.0,8.64,25.48,13941.0,1.14,3,"KY,MD,MO"
91,Confederate,1860,69.0,726153,1096491.0,15.51,45.76,10524.0,1.51,7,"AL,GA,LA,MS,NC,TN,VA"
