,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
0,Border,1828,25.0,116572,109578.0,10.15,26.5,4663.0,0.94,2,"KY,MD"
1,Confederate,1828,59.0,157208,259393.0,13.69,35.74,2665.0,1.65,4,"GA,NC,TN,VA"
2,Small,1828,28.0,104315,123092.0,9.09,23.71,3726.0,1.18,7,"AL,IL,IN,LA,MS,MO,RI"
3,Union,1828,135.0,769923,592841.0,67.07,175.02,5703.0,0.77,9,"CT,ME,MA,NH,NJ,NY,OH,PA,VT"
4,Postbellum,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
5,Border,1832,25.0,118057,110974.0,9.25,26.63,4722.0,0.94,2,"KY,MD"
6,Confederate,1832,71.0,139947,314881.0,10.96,31.57,1971.0,2.25,5,"AL,GA,NC,TN,VA"
7,Small,1832,25.0,52082,110935.0,4.08,11.75,2083.0,2.13,6,"DE,IL,LA,MS,MO,RI"
8,Union,1832,156.0,973634,691280.0,76.26,219.63,6241.0,0.71,10,"CT,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
9,Postbellum,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
10,Border,1836,25.0,118209,127666.0,7.87,23.12,4728.0,1.08,2,"KY,MD"
11,Confederate,1836,71.0,250850,363732.0,16.69,49.07,3533.0,1.45,5,"AL,GA,NC,TN,VA"
12,Small,1836,31.0,110375,158940.0,7.34,21.59,3560.0,1.44,8,"AR,DE,IL,LA,MI,MS,MO,RI"
13,Union,1836,156.0,1023332,798199.0,68.09,200.18,6560.0,0.78,10,"CT,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
14,Postbellum,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
15,Border,1840,25.0,153384,205535.0,6.36,18.69,6135.0,1.34,2,"KY,MD"
16,Confederate,1840,71.0,410107,582352.0,17.0,49.98,5776.0,1.42,5,"AL,GA,NC,TN,VA"
17,Small,1840,31.0,277197,255021.0,11.49,33.78,8942.0,0.92,8,"AR,DE,IL,LA,MI,MS,MO,RI"
18,Union,1840,156.0,1572006,1273325.0,65.16,191.57,10077.0,0.81,10,"CT,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
19,Postbellum,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
20,Border,1844,27.0,258077,265819.0,9.54,26.25,9558.0,1.03,3,"KY,MD,MO"
21,Confederate,1844,72.0,519536,706569.0,19.21,52.84,7216.0,1.36,7,"AL,GA,LA,MS,NC,TN,VA"
22,Small,1844,15.0,95444,147938.0,3.53,9.71,6363.0,1.55,4,"AR,DE,MI,RI"
23,Union,1844,152.0,1834435,1485892.0,67.84,186.58,12069.0,0.81,11,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
24,Postbellum,1844,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
25,Border,1848,27.0,261972,267211.0,9.11,26.41,9703.0,1.02,3,"KY,MD,MO"
26,Confederate,1848,72.0,534587,716347.0,18.58,53.89,7425.0,1.34,7,"AL,GA,LA,MS,NC,TN,VA"
27,Small,1848,30.0,189365,297303.0,6.58,19.09,6312.0,1.57,8,"AR,DE,FL,IA,MI,RI,TX,WI"
28,Union,1848,152.0,1890855,1512684.0,65.73,190.61,12440.0,0.8,11,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,VT"
29,Postbellum,1848,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
30,Border,1852,29.0,255564,309232.0,8.09,23.94,8813.0,1.21,3,"KY,MD,MO"
31,Confederate,1852,69.0,514080,735134.0,16.27,48.16,7450.0,1.43,7,"AL,GA,LA,MS,NC,TN,VA"
32,Small,1852,41.0,346276,436308.0,10.96,32.44,8446.0,1.26,10,"AR,CA,DE,FL,IA,NH,RI,TX,VT,WI"
33,Union,1852,149.0,2043240,1593727.0,64.67,191.42,13713.0,0.78,10,"CT,IL,IN,ME,MA,MI,NJ,NY,OH,PA"
34,Postbellum,1852,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
35,Border,1856,29.0,335404,395777.0,8.28,24.5,11566.0,1.18,3,"KY,MD,MO"
36,Confederate,1856,69.0,645599,942575.0,15.93,47.17,9357.0,1.46,7,"AL,GA,LA,MS,NC,TN,VA"
37,Small,1856,41.0,567651,561974.0,14.01,41.47,13845.0,0.99,10,"AR,CA,DE,FL,IA,NH,RI,TX,VT,WI"
38,Union,1856,149.0,2502932,2027375.0,61.78,182.86,16798.0,0.81,10,"CT,IL,IN,ME,MA,MI,NJ,NY,OH,PA"
39,Postbellum,1856,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
40,Border,1860,29.0,404281,448752.0,8.64,26.17,13941.0,1.11,3,"KY,MD,MO"
41,Confederate,1860,69.0,726153,1067445.0,15.51,47.0,10524.0,1.47,7,"AL,GA,LA,MS,NC,TN,VA"
42,Small,1860,48.0,727325,741872.0,15.54,47.08,15153.0,1.02,12,"AR,CA,DE,FL,IA,MN,NH,OR,RI,TX,VT,WI"
43,Union,1860,149.0,2823572,2315329.0,60.32,182.76,18950.0,0.82,10,"CT,IL,IN,ME,MA,MI,NJ,NY,OH,PA"
44,Postbellum,1860,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
45,Border,1864,29.0,269326,500946.0,6.68,15.56,9287.0,1.86,3,"KY,MD,MO"
46,Small,1864,39.0,404888,676163.0,10.04,23.4,10382.0,1.67,10,"CA,DE,KS,MN,NV,NH,OR,RI,VT,WV"
47,Union,1864,165.0,3357646,2853999.0,83.28,194.04,20349.0,0.85,12,"CT,IL,IN,IA,ME,MA,MI,NJ,NY,OH,PA,WI"
48,Confederate,1864,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
49,Postbellum,1864,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
50,Border,1868,29.0,400738,565041.0,7.0,20.59,13819.0,1.41,3,"KY,MD,MO"
51,Confederate,1868,49.0,794691,953629.0,13.89,40.83,16218.0,1.2,6,"AL,GA,LA,NC,SC,TN"
52,Small,1868,48.0,526318,936846.0,9.2,27.04,10965.0,1.78,12,"AR,CA,DE,KS,MN,NE,NV,NH,OR,RI,VT,WV"
53,Union,1868,165.0,4001069,3200855.0,69.92,205.56,24249.0,0.8,12,"CT,IL,IN,IA,ME,MA,MI,NJ,NY,OH,PA,WI"
54,Postbellum,1868,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
55,Border,1872,35.0,598641,616600.0,9.25,33.85,17104.0,1.03,3,"KY,MD,MO"
56,Confederate,1872,91.0,1387521,1609524.0,21.44,78.47,15247.0,1.16,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
57,Small,1872,45.0,510518,796408.0,7.89,28.87,11345.0,1.56,11,"DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
58,Union,1872,195.0,3975303,3458514.0,61.42,224.81,20386.0,0.87,13,"CA,CT,IL,IN,IA,ME,MA,MI,NJ,NY,OH,PA,WI"
59,Postbellum,1872,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
60,Border,1876,35.0,774995,798245.0,9.21,33.97,22143.0,1.03,3,"KY,MD,MO"
61,Confederate,1876,91.0,1785114,2070732.0,21.2,78.24,19617.0,1.16,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
62,Small,1876,45.0,688986,1026589.0,8.18,30.2,15311.0,1.49,11,"DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
63,Union,1876,195.0,5169564,4445825.0,61.41,226.59,26511.0,0.86,13,"CA,CT,IL,IN,IA,ME,MA,MI,NJ,NY,OH,PA,WI"
64,Postbellum,1876,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
65,Border,1880,35.0,840454,874072.0,9.12,33.64,24013.0,1.04,3,"KY,MD,MO"
66,Confederate,1880,91.0,1744765,2268194.0,18.92,69.83,19173.0,1.3,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
67,Small,1880,48.0,926810,1195585.0,10.05,37.09,19309.0,1.29,12,"CO,DE,FL,KS,MN,NE,NV,NH,OR,RI,VT,WV"
68,Union,1880,195.0,5709152,4852779.0,61.92,228.5,29278.0,0.85,13,"CA,CT,IL,IN,IA,ME,MA,MI,NJ,NY,OH,PA,WI"
69,Postbellum,1880,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
70,Border,1884,43.0,1035913,1077350.0,10.3,41.29,24091.0,1.04,4,"KY,MD,MO,WV"
71,Confederate,1884,103.0,1884528,2581803.0,18.73,75.12,18296.0,1.37,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
72,Small,1884,33.0,532932,826045.0,5.3,21.24,16149.0,1.55,9,"CO,DE,FL,NE,NV,NH,OR,RI,VT"
73,Union,1884,222.0,6606772,5549688.0,65.67,263.34,29760.0,0.84,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
74,Postbellum,1884,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
75,Border,1888,43.0,1236609,1224243.0,10.86,43.54,28758.0,0.99,4,"KY,MD,MO,WV"
76,Confederate,1888,103.0,2037610,2934158.0,17.89,71.74,19783.0,1.44,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
77,Small,1888,33.0,662035,940090.0,5.81,23.31,20062.0,1.42,9,"CO,DE,FL,NE,NV,NH,OR,RI,VT"
78,Union,1888,222.0,7452592,6334703.0,65.44,262.41,33570.0,0.85,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
79,Postbellum,1888,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
80,Border,1892,44.0,1266801,1190793.0,10.5,46.61,28791.0,0.94,4,"KY,MD,MO,WV"
81,Confederate,1892,108.0,2102083,2942916.0,17.42,77.34,19464.0,1.4,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
82,Postbellum,1892,8.0,200192,218209.0,1.66,7.37,25024.0,1.09,1,NE
83,Small,1892,50.0,729490,1356851.0,6.04,26.84,14590.0,1.86,14,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,VT,WA,WY"
84,Union,1892,234.0,7769461,6370958.0,64.38,285.85,33203.0,0.82,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
85,Border,1896,44.0,1571840,1367501.0,11.28,50.41,35724.0,0.87,4,"KY,MD,MO,WV"
86,Confederate,1896,108.0,2237682,3378900.0,16.05,71.76,20719.0,1.51,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
87,Postbellum,1896,8.0,223182,249964.0,1.6,7.16,27898.0,1.12,1,NE
88,Small,1896,53.0,990599,1654300.0,7.11,31.77,18691.0,1.67,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
89,Union,1896,234.0,8915371,7310604.0,63.96,285.9,38100.0,0.82,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
90,Border,1900,44.0,1637151,1375207.0,11.7,52.28,37208.0,0.84,4,"KY,MD,MO,WV"
91,Confederate,1900,108.0,1841033,3387501.0,13.15,58.79,17047.0,1.84,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
92,Postbellum,1900,8.0,241430,251087.0,1.72,7.71,30179.0,1.04,1,NE
93,Small,1900,53.0,1129127,1659817.0,8.07,36.06,21304.0,1.47,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
94,Union,1900,234.0,9148688,7318950.0,65.36,292.16,39097.0,0.8,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
95,Border,1904,46.0,1544022,1312419.0,11.42,54.34,33566.0,0.85,4,"KY,MD,MO,WV"
96,Confederate,1904,115.0,1338925,3266977.0,9.9,47.12,11643.0,2.44,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
97,Postbellum,1904,8.0,225732,227989.0,1.67,7.94,28216.0,1.01,1,NE
98,Small,1904,57.0,1225164,1617216.0,9.06,43.12,21494.0,1.32,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
99,Union,1904,250.0,9191252,7077264.0,67.96,323.48,36765.0,0.77,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
100,Border,1908,46.0,1703282,1413724.0,11.44,55.25,37028.0,0.83,4,"KY,MD,MO,WV"
101,Confederate,1908,115.0,1538434,3538398.0,10.33,49.91,13378.0,2.3,10,"AL,AR,GA,LA,MS,NC,SC,TN,TX,VA"
102,Postbellum,1908,15.0,523716,460870.0,3.52,16.99,34914.0,0.88,2,"NE,OK"
103,Small,1908,57.0,1416753,1756774.0,9.52,45.96,24855.0,1.24,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
104,Union,1908,250.0,9708988,7670101.0,65.21,314.95,38836.0,0.79,15,"CA,CT,IL,IN,IA,KS,ME,MA,MI,MN,NJ,NY,OH,PA,WI"
105,Border,1912,47.0,1652089,1338192.0,10.98,58.31,35151.0,0.81,4,"KY,MD,MO,WV"
