,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
0,Northeast,1800,4.0,4512,6362.0,6.02,2.83,1128.0,1.41,1,RI
1,South,1800,43.0,70500,68385.0,93.98,44.17,1640.0,0.97,3,"MD,NC,VA"
2,Midwest,1800,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
3,West,1800,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
4,Nat'l Average,1800,47.0,67282,67282.0,100.0,47.0,1596.0,1.0,16,4 of 16 held popular vote
5,Midwest,1804,3.0,2957,3519.0,2.05,2.53,986.0,1.19,1,OH
6,Northeast,1804,58.0,110487,67397.0,76.68,94.35,1905.0,0.61,5,"MA,NH,NJ,PA,RI"
7,South,1804,62.0,30636,72607.0,21.26,26.16,494.0,2.37,5,"KY,MD,NC,TN,VA"
8,West,1804,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
9,Nat'l Average,1804,123.0,144080,144080.0,100.0,123.0,1171.0,1.0,17,11 of 17 held popular vote
10,Midwest,1808,3.0,5993,5573.0,3.13,3.22,1998.0,0.93,1,OH
11,Northeast,1808,39.0,120252,72151.0,62.81,64.69,3083.0,0.6,4,"NH,NJ,PA,RI"
12,South,1808,61.0,65214,113472.0,34.06,35.08,1069.0,1.74,5,"KY,MD,NC,TN,VA"
13,West,1808,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
14,Nat'l Average,1808,103.0,192691,192691.0,100.0,103.0,1859.0,1.0,17,10 of 17 held popular vote
15,Midwest,1812,7.0,10721,16403.0,4.01,4.58,1532.0,1.53,1,OH
16,Northeast,1812,59.0,199524,137672.0,74.72,85.19,3382.0,0.69,4,"MA,NH,PA,RI"
17,South,1812,48.0,56783,112430.0,21.26,24.25,1183.0,1.98,3,"KY,MD,VA"
18,West,1812,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
19,Nat'l Average,1812,114.0,278786,278786.0,100.0,114.0,2342.0,1.0,18,8 of 18 held popular vote
20,Midwest,1816,8.0,3919,7681.0,3.52,4.08,490.0,1.96,1,OH
21,Northeast,1816,45.0,78640,43252.0,70.54,81.83,1748.0,0.55,4,"NH,NJ,PA,RI"
22,South,1816,63.0,28930,60464.0,25.95,30.1,459.0,2.09,4,"KY,MD,NC,VA"
23,West,1816,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
24,Nat'l Average,1816,116.0,112370,112370.0,100.0,116.0,961.0,1.0,19,9 of 19 held popular vote
25,Midwest,1820,11.0,8641,7258.0,8.1,13.11,786.0,0.84,2,"IL,OH"
26,Northeast,1820,77.0,78500,51025.0,73.57,119.12,1019.0,0.65,7,"CT,ME,MA,NH,NJ,PA,RI"
27,South,1820,74.0,19557,48697.0,18.33,29.68,264.0,2.49,6,"KY,MD,MS,NC,TN,VA"
28,West,1820,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
29,Nat'l Average,1820,162.0,108359,108359.0,100.0,162.0,659.0,1.0,24,15 of 24 held popular vote
30,Midwest,1824,27.0,73721,52342.0,20.15,38.28,2730.0,0.71,4,"IL,IN,MO,OH"
31,Northeast,1824,80.0,144794,153482.0,39.57,75.18,1810.0,1.06,7,"CT,ME,MA,NH,NJ,PA,RI"
32,South,1824,83.0,147254,160507.0,40.24,76.46,1774.0,1.09,7,"AL,KY,MD,MS,NC,TN,VA"
33,West,1824,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
34,Nat'l Average,1824,190.0,365928,365928.0,100.0,190.0,1926.0,1.0,24,18 of 24 held popular vote
35,Midwest,1828,27.0,196135,125526.0,17.08,42.2,7264.0,0.64,4,"IL,IN,MO,OH"
36,Northeast,1828,123.0,642454,571784.0,55.96,138.22,5223.0,0.89,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
37,South,1828,97.0,309429,451766.0,26.95,66.57,3190.0,1.46,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
38,West,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
39,Nat'l Average,1828,247.0,1148018,1148018.0,100.0,247.0,4648.0,1.0,24,22 of 24 held popular vote
40,Midwest,1832,39.0,231990,178632.0,18.17,50.33,5948.0,0.77,4,"IL,IN,MO,OH"
41,Northeast,1832,130.0,773253,595405.0,60.57,167.77,5948.0,0.77,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
42,South,1832,108.0,278477,498474.0,21.81,60.42,2578.0,1.79,10,"AL,DE,GA,KY,LA,MD,MS,NC,TN,VA"
43,West,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
44,Nat'l Average,1832,277.0,1276659,1276659.0,100.0,277.0,4609.0,1.0,24,23 of 24 held popular vote
45,Midwest,1836,42.0,340680,221442.0,22.67,64.16,8111.0,0.65,5,"IL,IN,MI,MO,OH"
46,Northeast,1836,130.0,752914,692681.0,50.1,141.79,5792.0,0.92,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
47,South,1836,111.0,409172,589208.0,27.23,77.06,3686.0,1.44,11,"AL,AR,DE,GA,KY,LA,MD,MS,NC,TN,VA"
48,West,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
49,Nat'l Average,1836,283.0,1502811,1502811.0,100.0,283.0,5310.0,1.0,26,25 of 26 held popular vote
50,Midwest,1840,42.0,581196,360342.0,24.09,68.18,13838.0,0.62,5,"IL,IN,MI,MO,OH"
51,Northeast,1840,130.0,1189879,1106587.0,49.32,139.58,9153.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
52,South,1840,111.0,641619,943180.0,26.59,75.26,5780.0,1.47,11,"AL,AR,DE,GA,KY,LA,MD,MS,NC,TN,VA"
53,West,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
54,Nat'l Average,1840,283.0,2412694,2412694.0,100.0,283.0,8525.0,1.0,26,25 of 26 held popular vote
55,Midwest,1844,56.0,689708,572458.0,25.51,67.85,12316.0,0.83,5,"IL,IN,MI,MO,OH"
56,Northeast,1844,112.0,1285296,1143913.0,47.54,126.44,11476.0,0.89,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
57,South,1844,98.0,732488,996184.0,27.09,72.06,7474.0,1.36,11,"AL,AR,DE,GA,KY,LA,MD,MS,NC,TN,VA"
58,West,1844,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
59,Nat'l Average,1844,266.0,2703864,2703864.0,100.0,266.0,10165.0,1.0,26,25 of 26 held popular vote
60,Midwest,1848,64.0,805094,652126.0,27.99,78.64,12580.0,0.81,7,"IL,IN,IA,MI,MO,OH,WI"
61,Northeast,1848,112.0,1296183,1140641.0,45.06,126.61,11573.0,0.88,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
62,South,1848,105.0,775502,1077948.0,26.96,75.75,7386.0,1.39,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
63,West,1848,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
64,Nat'l Average,1848,281.0,2876818,2876818.0,100.0,281.0,10238.0,1.0,30,29 of 30 held popular vote
65,Midwest,1852,71.0,943118,782788.0,29.85,85.96,13283.0,0.83,7,"IL,IN,IA,MI,MO,OH,WI"
66,Northeast,1852,110.0,1380399,1200947.0,43.69,125.82,12549.0,0.87,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
67,South,1852,103.0,758833,1130661.0,24.02,69.17,7367.0,1.49,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
68,West,1852,4.0,76810,43782.0,2.43,7.0,19202.0,0.57,1,CA
69,Nat'l Average,1852,288.0,3159640,3159640.0,100.0,288.0,10971.0,1.0,31,30 of 31 held popular vote
70,Midwest,1856,71.0,1305131,1004951.0,32.21,92.77,18382.0,0.77,7,"IL,IN,IA,MI,MO,OH,WI"
71,Northeast,1856,110.0,1656453,1540501.0,40.88,117.75,15059.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
72,South,1856,103.0,979747,1450026.0,24.18,69.64,9512.0,1.48,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
73,West,1856,4.0,110255,56230.0,2.72,7.84,27564.0,0.51,1,CA
74,Nat'l Average,1856,288.0,4051605,4051605.0,100.0,288.0,14068.0,1.0,31,30 of 31 held popular vote
75,Midwest,1860,75.0,1680488,1193146.0,35.9,105.9,22407.0,0.71,8,"IL,IN,IA,MI,MN,MO,OH,WI"
76,Northeast,1860,110.0,1754812,1737264.0,37.49,110.58,15953.0,0.99,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
77,South,1860,103.0,1111443,1633821.0,23.74,70.04,10791.0,1.47,13,"AL,AR,DE,FL,GA,KY,LA,MD,MS,NC,TN,TX,VA"
78,West,1860,7.0,134588,111708.0,2.87,8.48,19227.0,0.83,2,"CA,OR"
79,Nat'l Average,1860,295.0,4681335,4681335.0,100.0,295.0,15869.0,1.0,33,32 of 33 held popular vote
80,Midwest,1864,92.0,1715537,1595449.0,42.55,99.14,18647.0,0.93,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
81,Northeast,1864,105.0,1958889,1821767.0,48.58,113.2,18656.0,0.93,9,"CT,ME,MA,NH,NJ,NY,PA,RI,VT"
82,South,1864,26.0,216779,450900.0,5.38,12.53,8338.0,2.08,4,"DE,KY,MD,WV"
83,West,1864,10.0,140655,173006.0,3.49,8.13,14066.0,1.23,3,"CA,NV,OR"
84,Nat'l Average,1864,233.0,4031887,4031887.0,100.0,233.0,17304.0,1.0,25,25 of 25 held popular vote
