,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Pop vote per EC vote,Average weight,State count,States in group
0,Small,1800,4.0,4512,6362.0,6.02,2.83,1128.0,1.41,1,RI
1,South,1800,43.0,70500,68385.0,93.98,44.17,1640.0,0.97,3,"MD,NC,VA"
2,Northeast,1800,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
3,Midwest,1800,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
4,West,1800,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
5,Nat'l Average,1800,47.0,67282,67282.0,100.0,47.0,1596.0,1.0,16,4 of 16 held popular vote
6,Northeast,1804,54.0,109175,63321.0,75.77,93.23,2022.0,0.58,4,"MA,NH,NJ,PA"
7,Small,1804,7.0,4269,8196.0,2.96,3.65,610.0,1.92,2,"OH,RI"
8,South,1804,62.0,30636,72607.0,21.26,26.16,494.0,2.37,5,"KY,MD,NC,TN,VA"
9,Midwest,1804,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
10,West,1804,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
11,Nat'l Average,1804,123.0,144080,144080.0,100.0,123.0,1171.0,1.0,17,11 of 17 held popular vote
12,Northeast,1808,35.0,114488,65258.0,59.8,61.59,3271.0,0.57,3,"NH,NJ,PA"
13,Small,1808,7.0,11757,13050.0,6.14,6.32,1680.0,1.11,2,"OH,RI"
14,South,1808,61.0,65214,113472.0,34.06,35.08,1069.0,1.74,5,"KY,MD,NC,TN,VA"
15,Midwest,1808,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
16,West,1808,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
17,Nat'l Average,1808,103.0,192691,192691.0,100.0,103.0,1859.0,1.0,17,10 of 17 held popular vote
18,Midwest,1812,7.0,10721,16403.0,4.01,4.58,1532.0,1.53,1,OH
19,Northeast,1812,55.0,193408,129583.0,72.43,82.58,3517.0,0.67,3,"MA,NH,PA"
20,Small,1812,4.0,6116,9357.0,2.29,2.61,1529.0,1.53,1,RI
21,South,1812,48.0,56783,112430.0,21.26,24.25,1183.0,1.98,3,"KY,MD,VA"
22,West,1812,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
23,Nat'l Average,1812,114.0,278786,278786.0,100.0,114.0,2342.0,1.0,18,8 of 18 held popular vote
24,Midwest,1816,8.0,3919,7681.0,3.52,4.08,490.0,1.96,1,OH
25,Northeast,1816,41.0,77404,39476.0,69.43,80.55,1888.0,0.51,3,"NH,NJ,PA"
26,Small,1816,4.0,1236,3844.0,1.11,1.29,309.0,3.11,1,RI
27,South,1816,63.0,28930,60464.0,25.95,30.1,459.0,2.09,4,"KY,MD,NC,VA"
28,West,1816,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
29,Nat'l Average,1816,116.0,112370,112370.0,100.0,116.0,961.0,1.0,19,9 of 19 held popular vote
30,Midwest,1820,8.0,7198,5255.0,6.75,10.92,900.0,0.73,1,OH
31,Northeast,1820,73.0,77776,48221.0,72.89,118.02,1065.0,0.62,6,"CT,ME,MA,NH,NJ,PA"
32,Small,1820,10.0,2657,6589.0,2.49,4.03,266.0,2.48,3,"IL,MS,RI"
33,South,1820,71.0,19067,46714.0,17.87,28.93,269.0,2.45,5,"KY,MD,NC,TN,VA"
34,West,1820,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
35,Nat'l Average,1820,162.0,108359,108359.0,100.0,162.0,659.0,1.0,24,15 of 24 held popular vote
36,Midwest,1824,21.0,65777,40124.0,17.98,34.15,3132.0,0.61,2,"IN,OH"
37,Northeast,1824,76.0,142449,146722.0,38.93,73.96,1874.0,1.03,6,"CT,ME,MA,NH,NJ,PA"
38,Small,1824,13.0,15183,25052.0,4.15,7.88,1168.0,1.65,4,"IL,MS,MO,RI"
39,South,1824,80.0,142360,153749.0,38.9,73.91,1780.0,1.08,6,"AL,KY,MD,NC,TN,VA"
40,West,1824,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
41,Nat'l Average,1824,190.0,365928,365928.0,100.0,190.0,1926.0,1.0,24,18 of 24 held popular vote
42,Midwest,1828,21.0,170259,97048.0,14.83,36.63,8108.0,0.57,2,"IN,OH"
43,Northeast,1828,119.0,638874,555820.0,55.65,137.45,5369.0,0.87,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
44,Small,1828,13.0,37800,60480.0,3.29,8.13,2908.0,1.6,4,"IL,MS,MO,RI"
45,South,1828,94.0,301085,436573.0,26.23,64.78,3203.0,1.45,8,"AL,GA,KY,LA,MD,NC,TN,VA"
46,West,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
47,Nat'l Average,1828,247.0,1148018,1148018.0,100.0,247.0,4648.0,1.0,24,22 of 24 held popular vote
48,Midwest,1832,35.0,226798,161027.0,17.76,49.21,6480.0,0.71,3,"IL,IN,OH"
49,Northeast,1832,126.0,768317,583921.0,60.18,166.7,6098.0,0.76,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
50,Small,1832,15.0,24264,69152.0,1.9,5.26,1618.0,2.85,4,"DE,MS,MO,RI"
51,South,1832,101.0,264341,465240.0,20.71,57.35,2617.0,1.76,8,"AL,GA,KY,LA,MD,NC,TN,VA"
52,West,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
53,Nat'l Average,1832,277.0,1276659,1276659.0,100.0,277.0,4609.0,1.0,24,23 of 24 held popular vote
54,Midwest,1836,35.0,309681,185809.0,20.61,58.32,8848.0,0.6,3,"IL,IN,OH"
55,Northeast,1836,126.0,747240,672516.0,49.72,140.72,5930.0,0.9,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
56,Small,1836,21.0,69361,111671.0,4.62,13.06,3303.0,1.61,6,"AR,DE,MI,MS,MO,RI"
57,South,1836,101.0,376484,534607.0,25.05,70.9,3728.0,1.42,8,"AL,GA,KY,LA,MD,NC,TN,VA"
58,West,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
59,Nat'l Average,1836,283.0,1502811,1502811.0,100.0,283.0,5310.0,1.0,26,25 of 26 held popular vote
60,Midwest,1840,35.0,483923,300032.0,20.06,56.77,13826.0,0.62,3,"IL,IN,OH"
61,Northeast,1840,126.0,1181258,1074945.0,48.96,138.56,9375.0,0.91,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
62,Small,1840,21.0,165110,178319.0,6.84,19.37,7862.0,1.08,6,"AR,DE,MI,MS,MO,RI"
63,South,1840,101.0,582403,861956.0,24.14,68.32,5766.0,1.48,8,"AL,GA,KY,LA,MD,NC,TN,VA"
64,West,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
65,Nat'l Average,1840,283.0,2412694,2412694.0,100.0,283.0,8525.0,1.0,26,25 of 26 held popular vote
66,Midwest,1844,56.0,689708,572458.0,25.51,67.85,12316.0,0.83,5,"IL,IN,MI,MO,OH"
67,Northeast,1844,108.0,1273000,1094780.0,47.08,125.23,11787.0,0.86,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
68,Small,1844,10.0,39693,101614.0,1.47,3.9,3969.0,2.56,3,"AR,DE,RI"
69,South,1844,92.0,705091,937771.0,26.08,69.36,7664.0,1.33,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
70,West,1844,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
71,Nat'l Average,1844,266.0,2703864,2703864.0,100.0,266.0,10165.0,1.0,26,25 of 26 held popular vote
72,Midwest,1848,56.0,743657,572616.0,25.85,72.64,13280.0,0.77,5,"IL,IN,MI,MO,OH"
73,Northeast,1848,108.0,1285028,1105124.0,44.67,125.52,11898.0,0.86,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
74,Small,1848,25.0,124283,256023.0,4.32,12.14,4971.0,2.06,7,"AR,DE,FL,IA,RI,TX,WI"
75,South,1848,92.0,723811,940954.0,25.16,70.7,7868.0,1.3,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
76,West,1848,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
77,Nat'l Average,1848,281.0,2876818,2876818.0,100.0,281.0,10238.0,1.0,30,29 of 30 held popular vote
78,Midwest,1852,67.0,907754,735281.0,28.73,82.74,13549.0,0.81,6,"IL,IN,MI,MO,OH,WI"
79,Northeast,1852,106.0,1363394,1158885.0,43.15,124.27,12862.0,0.85,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
80,Small,1852,26.0,187169,284497.0,5.92,17.06,7199.0,1.52,7,"AR,CA,DE,FL,IA,RI,TX"
81,South,1852,89.0,700843,974172.0,22.18,63.88,7875.0,1.39,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
82,West,1852,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
83,Nat'l Average,1852,288.0,3159640,3159640.0,100.0,288.0,10971.0,1.0,31,30 of 31 held popular vote
84,Midwest,1856,67.0,1212821,946000.0,29.93,86.21,18102.0,0.78,6,"IL,IN,MI,MO,OH,WI"
85,Northeast,1856,106.0,1636631,1489334.0,40.39,116.34,15440.0,0.91,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
86,Small,1856,26.0,327617,366931.0,8.09,23.29,12601.0,1.12,7,"AR,CA,DE,FL,IA,RI,TX"
87,South,1856,89.0,874517,1250559.0,21.58,62.16,9826.0,1.43,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
88,West,1856,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
89,Nat'l Average,1856,288.0,4051605,4051605.0,100.0,288.0,14068.0,1.0,31,30 of 31 held popular vote
90,Midwest,1860,67.0,1516962,1061873.0,32.4,95.59,22641.0,0.7,6,"IL,IN,MI,MO,OH,WI"
91,Northeast,1860,106.0,1734861,1682815.0,37.06,109.32,16367.0,0.97,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
92,Small,1860,33.0,464637,525040.0,9.93,29.28,14080.0,1.13,9,"AR,CA,DE,FL,IA,MN,OR,RI,TX"
93,South,1860,89.0,964871,1408712.0,20.61,60.8,10841.0,1.46,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
94,West,1860,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
95,Nat'l Average,1860,295.0,4681335,4681335.0,100.0,295.0,15869.0,1.0,33,32 of 33 held popular vote
96,Midwest,1864,85.0,1651550,1469880.0,40.96,95.44,19430.0,0.89,7,"IL,IN,IA,MI,MO,OH,WI"
97,Northeast,1864,101.0,1935822,1742240.0,48.01,111.87,19167.0,0.9,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
98,Small,1864,19.0,138741,328816.0,3.44,8.02,7302.0,2.37,6,"DE,KS,MN,NV,OR,RI"
99,South,1864,23.0,199857,397715.0,4.96,11.55,8689.0,1.99,3,"KY,MD,WV"
100,West,1864,5.0,105890,86830.0,2.63,6.12,21178.0,0.82,1,CA
101,Nat'l Average,1864,233.0,4031887,4031887.0,100.0,233.0,17304.0,1.0,25,25 of 25 held popular vote
102,Midwest,1868,85.0,2077890,1662312.0,36.31,105.66,24446.0,0.8,7,"IL,IN,IA,MI,MO,OH,WI"
103,Northeast,1868,101.0,2200183,1980165.0,38.45,111.88,21784.0,0.9,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
104,Small,1868,23.0,202635,451876.0,3.54,10.3,8810.0,2.23,7,"DE,KS,MN,NE,NV,OR,RI"
105,South,1868,77.0,1133452,1518826.0,19.81,57.64,14720.0,1.34,10,"AL,AR,GA,KY,LA,MD,NC,SC,TN,WV"
106,West,1868,5.0,108656,97790.0,1.9,5.53,21731.0,0.9,1,CA
107,Nat'l Average,1868,291.0,5722440,5722440.0,100.0,291.0,19665.0,1.0,34,33 of 34 held popular vote
108,Midwest,1872,115.0,2405218,2044435.0,37.16,136.02,20915.0,0.85,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
109,Northeast,1872,109.0,2060676,1937035.0,31.84,116.53,18905.0,0.94,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
110,Small,1872,20.0,134734,353003.0,2.08,7.62,6737.0,2.62,6,"DE,FL,NE,NV,OR,RI"
111,South,1872,116.0,1775570,2059661.0,27.43,100.41,15307.0,1.16,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
112,West,1872,6.0,95785,106321.0,1.48,5.42,15964.0,1.11,1,CA
113,Nat'l Average,1872,366.0,6471983,6471983.0,100.0,366.0,17683.0,1.0,37,37 of 37 held popular vote
114,Midwest,1876,115.0,3119111,2651244.0,37.05,135.6,27123.0,0.85,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
115,Northeast,1876,109.0,2638182,2506273.0,31.34,114.69,24204.0,0.95,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
116,Small,1876,20.0,196436,459660.0,2.33,8.54,9822.0,2.34,6,"DE,FL,NE,NV,OR,RI"
117,South,1876,116.0,2309146,2678609.0,27.43,100.39,19906.0,1.16,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
118,West,1876,6.0,155784,138648.0,1.85,6.77,25964.0,0.89,1,CA
119,Nat'l Average,1876,366.0,8418659,8418659.0,100.0,366.0,23002.0,1.0,38,37 of 38 held popular vote
120,Midwest,1880,115.0,3513729,2881258.0,38.11,140.63,30554.0,0.82,9,"IL,IN,IA,KS,MI,MN,MO,OH,WI"
121,Northeast,1880,109.0,2935043,2729590.0,31.84,117.47,26927.0,0.93,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
122,Small,1880,23.0,310543,574505.0,3.37,12.43,13502.0,1.85,7,"CO,DE,FL,NE,NV,OR,RI"
123,South,1880,116.0,2297621,2895002.0,24.92,91.96,19807.0,1.26,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
124,West,1880,6.0,164245,149463.0,1.78,6.57,27374.0,0.91,1,CA
125,Nat'l Average,1880,369.0,9219477,9219477.0,100.0,369.0,24985.0,1.0,38,All 37
126,Midwest,1884,134.0,4082169,3347379.0,40.58,162.71,30464.0,0.82,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
127,Northeast,1884,101.0,2903085,2525684.0,28.86,115.72,28743.0,0.87,6,"CT,ME,MA,NJ,NY,PA"
128,Small,1884,28.0,398730,701765.0,3.96,15.89,14240.0,1.76,8,"CO,DE,FL,NV,NH,OR,RI,VT"
129,South,1884,130.0,2479173,3272508.0,24.64,98.82,19071.0,1.32,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
130,West,1884,8.0,196988,200928.0,1.96,7.85,24624.0,1.02,1,CA
131,Nat'l Average,1884,401.0,10060145,10060145.0,100.0,401.0,25088.0,1.0,38,All 37
132,Midwest,1888,134.0,4677654,3788900.0,41.07,164.7,34908.0,0.81,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
133,Northeast,1888,101.0,3247591,2857880.0,28.52,114.35,32154.0,0.88,6,"CT,ME,MA,NJ,NY,PA"
134,Small,1888,28.0,459403,794767.0,4.03,16.18,16407.0,1.73,8,"CO,DE,FL,NV,NH,OR,RI,VT"
135,South,1888,130.0,2752859,3688831.0,24.17,96.93,21176.0,1.34,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
136,West,1888,8.0,251339,226205.0,2.21,8.85,31417.0,0.9,1,CA
137,Nat'l Average,1888,401.0,11388846,11388846.0,100.0,401.0,28401.0,1.0,38,All 37
138,Midwest,1892,145.0,4892127,3962623.0,40.54,179.99,33739.0,0.81,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
139,Northeast,1892,105.0,3349500,2847075.0,27.76,123.23,31900.0,0.85,6,"CT,ME,MA,NJ,NY,PA"
140,Small,1892,50.0,729490,1356851.0,6.04,26.84,14590.0,1.86,14,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,VT,WA,WY"
141,South,1892,135.0,2827301,3675491.0,23.43,104.02,20943.0,1.3,13,"AL,AR,GA,KY,LA,MD,MS,NC,SC,TN,TX,VA,WV"
142,West,1892,9.0,269609,245344.0,2.23,9.92,29957.0,0.91,1,CA
143,Nat'l Average,1892,444.0,12068027,12068027.0,100.0,444.0,27180.0,1.0,44,All 43
144,Midwest,1896,145.0,5830221,4547572.0,41.83,186.97,40208.0,0.78,10,"IL,IN,IA,KS,MI,MN,MO,NE,OH,WI"
145,Northeast,1896,105.0,3683819,3278599.0,26.43,118.14,35084.0,0.89,6,"CT,ME,MA,NJ,NY,PA"
146,Small,1896,53.0,990599,1654300.0,7.11,31.77,18691.0,1.67,15,"CO,DE,FL,ID,MT,NV,NH,ND,OR,RI,SD,UT,VT,WA,WY"
