,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
0,Midwest,1824,16.0,50024,22511.0,13.67,35.68,3126.0,0.45,1,OH
1,Northeast,1824,76.0,142449,106837.0,38.93,101.6,1874.0,0.75,6,"CT,ME,MA,NH,NJ,PA"
2,Small,1824,23.0,44539,32068.0,12.17,31.77,1936.0,0.72,6,"AL,IL,IN,MS,MO,RI"
3,South,1824,75.0,128757,105581.0,35.19,91.84,1717.0,0.82,5,"KY,MD,NC,TN,VA"
4,West,1824,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
5,Nat'l Average,1824,261.0,365928,365928.0,100.0,261.0,1402.0,1.0,24,All 24
6,Midwest,1828,16.0,131049,70766.0,11.42,29.79,8191.0,0.54,1,OH
7,Northeast,1828,119.0,638874,523877.0,55.65,145.23,5369.0,0.82,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
8,Small,1828,28.0,104315,123092.0,9.09,23.71,3726.0,1.18,7,"AL,IL,IN,LA,MS,MO,RI"
9,South,1828,84.0,273780,369603.0,23.85,62.24,3259.0,1.35,6,"GA,KY,MD,NC,TN,VA"
10,West,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
11,Nat'l Average,1828,261.0,1148018,1148018.0,100.0,261.0,4399.0,1.0,24,All 24
12,Midwest,1832,30.0,205317,133456.0,16.08,46.32,6844.0,0.65,2,"IN,OH"
13,Northeast,1832,126.0,768317,560871.0,60.18,173.32,6098.0,0.73,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
14,Small,1832,25.0,52082,110935.0,4.08,11.75,2083.0,2.13,6,"DE,IL,LA,MS,MO,RI"
15,South,1832,96.0,258004,425707.0,20.21,58.2,2688.0,1.65,7,"AL,GA,KY,MD,NC,TN,VA"
16,West,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
17,Nat'l Average,1832,288.0,1276659,1276659.0,100.0,288.0,4433.0,1.0,24,All 24
18,Midwest,1836,30.0,276092,154612.0,18.37,54.01,9203.0,0.56,2,"IN,OH"
19,Northeast,1836,126.0,747240,642626.0,49.72,146.17,5930.0,0.86,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
20,Small,1836,31.0,110375,158940.0,7.34,21.59,3560.0,1.44,8,"AR,DE,IL,LA,MI,MS,MO,RI"
21,South,1836,96.0,369059,490848.0,24.56,72.19,3844.0,1.33,7,"AL,GA,KY,MD,NC,TN,VA"
22,West,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
23,Nat'l Average,1836,294.0,1502811,1502811.0,100.0,294.0,5112.0,1.0,26,All 26
24,Midwest,1840,30.0,390748,246171.0,16.2,47.62,13025.0,0.63,2,"IN,OH"
25,Northeast,1840,126.0,1181258,1039507.0,48.96,143.95,9375.0,0.88,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
26,Small,1840,31.0,277197,255021.0,11.49,33.78,8942.0,0.92,8,"AR,DE,IL,LA,MI,MS,MO,RI"
27,South,1840,96.0,563491,788887.0,23.36,68.67,5870.0,1.4,7,"AL,GA,KY,MD,NC,TN,VA"
28,West,1840,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
29,Nat'l Average,1840,294.0,2412694,2412694.0,100.0,294.0,8206.0,1.0,26,All 26
30,Midwest,1844,51.0,633957,500826.0,23.45,64.48,12431.0,0.79,4,"IL,IN,MO,OH"
31,Northeast,1844,108.0,1273000,1056590.0,47.08,129.48,11787.0,0.83,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
32,Small,1844,15.0,95444,147938.0,3.53,9.71,6363.0,1.55,4,"AR,DE,MI,RI"
33,South,1844,92.0,705091,902516.0,26.08,71.71,7664.0,1.28,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
34,West,1844,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
35,Nat'l Average,1844,275.0,2703864,2703864.0,100.0,275.0,9832.0,1.0,26,All 26
36,Midwest,1848,51.0,678575,508931.0,23.59,68.4,13305.0,0.75,4,"IL,IN,MO,OH"
37,Northeast,1848,108.0,1285028,1066573.0,44.67,129.54,11898.0,0.83,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
38,Small,1848,30.0,189365,297303.0,6.58,19.09,6312.0,1.57,8,"AR,DE,FL,IA,MI,RI,TX,WI"
39,South,1848,92.0,723811,912002.0,25.16,72.96,7868.0,1.26,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
40,West,1848,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
41,Nat'l Average,1848,290.0,2876818,2876818.0,100.0,290.0,9920.0,1.0,30,All 30
42,Midwest,1852,62.0,843072,657596.0,26.68,78.98,13598.0,0.78,5,"IL,IN,MI,MO,OH"
43,Northeast,1852,96.0,1268969,1027865.0,40.16,118.88,13218.0,0.81,6,"CT,ME,MA,NJ,NY,PA"
44,Small,1852,41.0,346276,436308.0,10.96,32.44,8446.0,1.26,10,"AR,CA,DE,FL,IA,NH,RI,TX,VT,WI"
45,South,1852,89.0,700843,953146.0,22.18,65.66,7875.0,1.36,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
46,West,1852,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
47,Nat'l Average,1852,296.0,3159640,3159640.0,100.0,296.0,10674.0,1.0,31,All 31
48,Midwest,1856,62.0,1093309,852781.0,26.98,79.87,17634.0,0.78,5,"IL,IN,MI,MO,OH"
49,Northeast,1856,96.0,1516109,1319015.0,37.42,110.76,15793.0,0.87,6,"CT,ME,MA,NJ,NY,PA"
50,Small,1856,41.0,567651,561974.0,14.01,41.47,13845.0,0.99,10,"AR,CA,DE,FL,IA,NH,RI,TX,VT,WI"
51,South,1856,89.0,874517,1215579.0,21.58,63.89,9826.0,1.39,9,"AL,GA,KY,LA,MD,MS,NC,TN,VA"
52,West,1856,0.0,0,0.0,0.0,0.0,0.0,0.0,0,
53,Nat'l Average,1856,296.0,4051605,4051605.0,100.0,296.0,13688.0,1.0,31,All 31
54,Midwest,1860,62.0,1364783,955348.0,29.15,88.34,22013.0,0.7,5,"IL,IN,MI,MO,OH"
55,Northeast,1860,96.0,1624352,1478160.0,34.7,105.14,16920.0,0.91,6,"CT,ME,MA,NJ,NY,PA"
