,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
0,Border,1828,25.0,116572,10.15,26.5,4663.0,0.94,2,"KY,MD"
1,Confederate,1828,69.0,184513,16.07,41.94,2674.0,1.65,6,"AL,GA,LA,NC,TN,VA"
2,Midwest,1828,21.0,170259,14.83,38.7,8108.0,0.54,2,"IN,OH"
3,Northeast,1828,119.0,638874,55.65,145.23,5369.0,0.82,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
4,Small,1828,13.0,37800,3.29,8.59,2908.0,1.51,4,"IL,MS,MO,RI"
5,West,1828,0.0,0,0.0,0.0,0.0,0.0,0,
6,Border,1832,25.0,118057,9.25,26.63,4722.0,0.94,2,"KY,MD"
7,Confederate,1832,76.0,146284,11.46,33.0,1925.0,2.3,6,"AL,GA,LA,NC,TN,VA"
8,Midwest,1832,35.0,226798,17.76,51.16,6480.0,0.68,3,"IL,IN,OH"
9,Northeast,1832,126.0,768317,60.18,173.32,6098.0,0.73,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
10,Small,1832,15.0,24264,1.9,5.47,1618.0,2.74,4,"DE,MS,MO,RI"
11,West,1832,0.0,0,0.0,0.0,0.0,0.0,0,
12,Border,1836,25.0,118209,7.87,23.12,4728.0,1.08,2,"KY,MD"
13,Confederate,1836,76.0,258275,17.19,50.52,3398.0,1.5,6,"AL,GA,LA,NC,TN,VA"
14,Midwest,1836,35.0,309681,20.61,60.58,8848.0,0.58,3,"IL,IN,OH"
15,Northeast,1836,126.0,747240,49.72,146.17,5930.0,0.86,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
16,Small,1836,21.0,69361,4.62,13.57,3303.0,1.55,6,"AR,DE,MI,MS,MO,RI"
17,West,1836,0.0,0,0.0,0.0,0.0,0.0,0,
18,Border,1840,25.0,153384,6.36,18.69,6135.0,1.34,2,"KY,MD"
19,Confederate,1840,76.0,429019,17.78,52.28,5645.0,1.45,6,"AL,GA,LA,NC,TN,VA"
20,Midwest,1840,35.0,483923,20.06,58.97,13826.0,0.59,3,"IL,IN,OH"
21,Northeast,1840,126.0,1181258,48.96,143.95,9375.0,0.88,8,"CT,ME,MA,NH,NJ,NY,PA,VT"
22,Small,1840,21.0,165110,6.84,20.12,7862.0,1.04,6,"AR,DE,MI,MS,MO,RI"
23,West,1840,0.0,0,0.0,0.0,0.0,0.0,0,
24,Border,1844,27.0,258077,9.54,26.25,9558.0,1.03,3,"KY,MD,MO"
25,Confederate,1844,72.0,519536,19.21,52.84,7216.0,1.36,7,"AL,GA,LA,MS,NC,TN,VA"
