,Abbrev,State,Group,Year,EC votes,Votes counted,Votes counted normalized,Votes counted %,EC votes normalized,Population per EC vote,Vote weight,Party
0,AL,Alabama,Confederate,1828,5.0,18618,21969.0,1.62,4.23,3724.0,1.18,Democrat
1,CT,Connecticut,Union,1828,8.0,19378,35268.0,1.69,4.41,2422.0,1.82,National Republican
2,GA,Georgia,Confederate,1828,9.0,20004,39608.0,1.74,4.55,2223.0,1.98,Democrat
3,IL,Illinois,Small,1828,3.0,14222,13226.0,1.24,3.23,4741.0,0.93,Democrat
4,IN,Indiana,Union,1828,5.0,39210,21958.0,3.42,8.91,7842.0,0.56,Democrat
5,KY,Kentucky,Border,1828,14.0,70776,61575.0,6.17,16.09,5055.0,0.87,Democrat
6,LA,Louisiana,Confederate,1828,5.0,8687,21978.0,0.76,1.97,1737.0,2.53,Democrat
7,ME,Maine,Union,1828,9.0,34789,39659.0,3.03,7.91,3865.0,1.14,National Republican
8,MD,Maryland,Border,1828,11.0,45796,48544.0,3.99,10.41,4163.0,1.06,National Republican
9,MA,Massachusetts,Union,1828,15.0,39074,66035.0,3.4,8.88,2605.0,1.69,National Republican
10,MS,Mississippi,Small,1828,3.0,8344,13184.0,0.73,1.9,2781.0,1.58,Democrat
11,MO,Missouri,Small,1828,3.0,11654,13169.0,1.02,2.65,3885.0,1.13,Democrat
12,NH,New Hampshire,Union,1828,8.0,44035,35228.0,3.84,10.01,5504.0,0.8,National Republican
13,NJ,New Jersey,Union,1828,8.0,45570,35089.0,3.97,10.36,5696.0,0.77,National Republican
14,NY,New York,Union,1828,36.0,270975,157166.0,23.6,61.6,7527.0,0.58,Democrat
15,NC,North Carolina,Confederate,1828,15.0,51747,66236.0,4.51,11.76,3450.0,1.28,Democrat
16,OH,Ohio,Union,1828,16.0,131049,70766.0,11.42,29.79,8191.0,0.54,Democrat
17,PA,Pennsylvania,Union,1828,28.0,152220,123298.0,13.26,34.6,5436.0,0.81,Democrat
18,RI,Rhode Island,Small,1828,4.0,3580,17578.0,0.31,0.81,895.0,4.91,National Republican
19,TN,Tennessee,Confederate,1828,11.0,46533,48394.0,4.05,10.58,4230.0,1.04,Democrat
20,VT,Vermont,Union,1828,7.0,32833,30863.0,2.86,7.46,4690.0,0.94,National Republican
21,VA,Virginia,Confederate,1828,24.0,38924,105484.0,3.39,8.85,1622.0,2.71,Democrat
22,,,Post-War,1828,0.0,0,0.0,0.0,0.0,0.0,0.0,
23,AL,Alabama,Confederate,1832,7.0,14291,31011.0,1.12,3.22,2042.0,2.17,Democrat
24,CT,Connecticut,Union,1832,8.0,32833,35460.0,2.57,7.41,4104.0,1.08,National Republican
25,DE,Delaware,Small,1832,3.0,8386,13334.0,0.66,1.89,2795.0,1.59,National Republican
26,GA,Georgia,Confederate,1832,11.0,20750,48762.0,1.63,4.68,1886.0,2.35,Democrat
27,IL,Illinois,Union,1832,5.0,21481,22125.0,1.68,4.85,4296.0,1.03,Democrat
28,IN,Indiana,Union,1832,9.0,47023,39970.0,3.68,10.61,5225.0,0.85,Democrat
29,KY,Kentucky,Border,1832,15.0,79741,66185.0,6.25,17.99,5316.0,0.83,National Republican
30,LA,Louisiana,Confederate,1832,5.0,6337,22180.0,0.5,1.43,1267.0,3.5,Democrat
31,ME,Maine,Union,1832,10.0,62153,44129.0,4.87,14.02,6215.0,0.71,Democrat
32,MD,Maryland,Border,1832,10.0,38316,44447.0,3.0,8.64,3832.0,1.16,National Republican
33,MA,Massachusetts,Union,1832,14.0,67619,62209.0,5.3,15.25,4830.0,0.92,National Republican
34,MS,Mississippi,Small,1832,4.0,5750,17710.0,0.45,1.3,1438.0,3.08,Democrat
35,MO,Missouri,Small,1832,4.0,5192,17757.0,0.41,1.17,1298.0,3.42,Democrat
36,NH,New Hampshire,Union,1832,7.0,43793,31093.0,3.43,9.88,6256.0,0.71,Democrat
37,NJ,New Jersey,Union,1832,8.0,47760,35342.0,3.74,10.77,5970.0,0.74,Democrat
38,NY,New York,Union,1832,42.0,323393,187568.0,25.33,72.95,7700.0,0.58,Democrat
39,NC,North Carolina,Confederate,1832,15.0,29799,66452.0,2.33,6.72,1987.0,2.23,Democrat
40,OH,Ohio,Union,1832,21.0,158294,93393.0,12.4,35.71,7538.0,0.59,Democrat
41,PA,Pennsylvania,Union,1832,30.0,158638,133256.0,12.43,35.79,5288.0,0.84,Democrat
42,RI,Rhode Island,Small,1832,4.0,4936,17720.0,0.39,1.11,1234.0,3.59,National Republican
43,TN,Tennessee,Confederate,1832,15.0,29425,66500.0,2.3,6.64,1962.0,2.26,Democrat
44,VT,Vermont,Union,1832,7.0,32128,31164.0,2.52,7.25,4590.0,0.97,Anti-Masonic
45,VA,Virginia,Confederate,1832,23.0,45682,101871.0,3.58,10.3,1986.0,2.23,Democrat
46,,,Post-War,1832,0.0,0,0.0,0.0,0.0,0.0,0.0,
47,AL,Alabama,Confederate,1836,7.0,37296,35804.0,2.48,7.3,5328.0,0.96,Democrat
48,AR,Arkansas,Small,1836,3.0,3714,15339.0,0.25,0.73,1238.0,4.13,Democrat
49,CT,Connecticut,Union,1836,8.0,38093,40760.0,2.53,7.45,4762.0,1.07,Democrat
50,DE,Delaware,Small,1836,3.0,8895,15299.0,0.59,1.74,2965.0,1.72,Whig-Harrison
51,GA,Georgia,Confederate,1836,11.0,47259,56238.0,3.14,9.24,4296.0,1.19,Whig-White
52,IL,Illinois,Union,1836,5.0,33589,25528.0,2.24,6.57,6718.0,0.76,Democrat
53,IN,Indiana,Union,1836,9.0,73759,45731.0,4.91,14.43,8195.0,0.62,Whig-Harrison
54,KY,Kentucky,Border,1836,15.0,70090,76398.0,4.66,13.71,4673.0,1.09,Whig-Harrison
55,LA,Louisiana,Confederate,1836,5.0,7425,25542.0,0.49,1.45,1485.0,3.44,Democrat
56,ME,Maine,Union,1836,10.0,38740,51137.0,2.58,7.58,3874.0,1.32,Democrat
57,MD,Maryland,Border,1836,10.0,48119,51006.0,3.2,9.41,4812.0,1.06,Whig-Harrison
58,MA,Massachusetts,Union,1836,14.0,74687,71700.0,4.97,14.61,5335.0,0.96,Whig-Webster
59,MI,Michigan,Small,1836,3.0,12667,15327.0,0.84,2.48,4222.0,1.21,Democrat
60,MS,Mississippi,Small,1836,4.0,20079,20481.0,1.34,3.93,5020.0,1.02,Democrat
61,MO,Missouri,Small,1836,4.0,18332,20532.0,1.22,3.59,4583.0,1.12,Democrat
62,NH,New Hampshire,Union,1836,7.0,24925,35892.0,1.66,4.88,3561.0,1.44,Democrat
63,NJ,New Jersey,Union,1836,8.0,51729,40866.0,3.44,10.12,6466.0,0.79,Whig-Harrison
64,NY,New York,Union,1836,42.0,305343,213740.0,20.32,59.73,7270.0,0.7,Democrat
65,NC,North Carolina,Confederate,1836,15.0,50153,76734.0,3.34,9.81,3344.0,1.53,Democrat
66,OH,Ohio,Union,1836,21.0,202333,107236.0,13.46,39.58,9635.0,0.53,Whig-Harrison
67,PA,Pennsylvania,Union,1836,30.0,178692,153675.0,11.89,34.96,5956.0,0.86,Democrat
68,RI,Rhode Island,Small,1836,4.0,5674,20426.0,0.38,1.11,1418.0,3.6,Democrat
69,TN,Tennessee,Confederate,1836,15.0,62197,76502.0,4.14,12.17,4146.0,1.23,Whig-White
70,VT,Vermont,Union,1836,7.0,35031,35732.0,2.33,6.85,5004.0,1.02,Whig-Harrison
71,VA,Virginia,Confederate,1836,23.0,53945,117600.0,3.59,10.55,2345.0,2.18,Democrat
72,,,Post-War,1836,0.0,0,0.0,0.0,0.0,0.0,0.0,
73,AL,Alabama,Confederate,1840,7.0,62511,57510.0,2.59,7.62,8930.0,0.92,Democrat
74,AR,Arkansas,Small,1840,3.0,11839,24625.0,0.49,1.44,3946.0,2.08,Democrat
75,CT,Connecticut,Union,1840,8.0,56879,65411.0,2.36,6.93,7110.0,1.15,Whig
76,DE,Delaware,Small,1840,3.0,10852,24634.0,0.45,1.32,3617.0,2.27,Whig
77,GA,Georgia,Confederate,1840,11.0,72322,90402.0,3.0,8.81,6575.0,1.25,Whig
78,IL,Illinois,Union,1840,5.0,93175,40997.0,3.86,11.35,18635.0,0.44,Democrat
79,IN,Indiana,Union,1840,9.0,116906,73651.0,4.85,14.25,12990.0,0.63,Whig
80,KY,Kentucky,Border,1840,15.0,91104,122990.0,3.78,11.1,6074.0,1.35,Whig
81,LA,Louisiana,Confederate,1840,5.0,18912,41039.0,0.78,2.3,3782.0,2.17,Whig
82,ME,Maine,Union,1840,10.0,92802,81666.0,3.85,11.31,9280.0,0.88,Whig
83,MD,Maryland,Border,1840,10.0,62280,82210.0,2.58,7.59,6228.0,1.32,Whig
84,MA,Massachusetts,Union,1840,14.0,126825,115411.0,5.26,15.46,9059.0,0.91,Whig
85,MI,Michigan,Small,1840,3.0,44350,24836.0,1.84,5.4,14783.0,0.56,Whig
86,MS,Mississippi,Small,1840,4.0,36525,32872.0,1.51,4.45,9131.0,0.9,Whig
87,MO,Missouri,Small,1840,4.0,52923,32812.0,2.19,6.45,13231.0,0.62,Democrat
88,NH,New Hampshire,Union,1840,7.0,59956,57558.0,2.49,7.31,8565.0,0.96,Democrat
89,NJ,New Jersey,Union,1840,8.0,64454,65743.0,2.67,7.85,8057.0,1.02,Whig
90,NY,New York,Union,1840,42.0,441543,344404.0,18.3,53.81,10513.0,0.78,Whig
91,NC,North Carolina,Confederate,1840,15.0,80735,122717.0,3.35,9.84,5382.0,1.52,Whig
92,OH,Ohio,Union,1840,21.0,273842,172520.0,11.35,33.37,13040.0,0.63,Whig
