,Group,Year,EC votes,Votes counted,Votes counted %,EC votes normalized,Population per EC vote,Average weight,State count,States in group
0,Border,1828,28.0,128226,11.17,29.15,4580.0,0.96,3,"KY,MD,MO"
1,Confederate,1828,72.0,192857,16.8,43.84,2679.0,1.64,7,"AL,GA,LA,MS,NC,TN,VA"
2,Union,1828,147.0,826935,72.03,187.98,5625.0,0.78,12,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
3,West,1828,0.0,0,0.0,0.0,0.0,0.0,0,
4,Border,1832,32.0,131635,10.31,29.69,4114.0,1.08,4,"DE,KY,MD,MO"
5,Confederate,1832,80.0,152034,11.91,34.3,1900.0,2.33,7,"AL,GA,LA,MS,NC,TN,VA"
6,Union,1832,165.0,1000051,78.33,225.59,6061.0,0.73,12,"CT,IL,IN,ME,MA,NH,NJ,NY,OH,PA,RI,VT"
7,West,1832,0.0,0,0.0,0.0,0.0,0.0,0,
8,Border,1836,32.0,145436,9.68,28.45,4545.0,1.12,4,"DE,KY,MD,MO"
9,Confederate,1836,83.0,282068,18.77,55.18,3398.0,1.5,8,"AL,AR,GA,LA,MS,NC,TN,VA"
10,Union,1836,168.0,1075262,71.55,210.34,6400.0,0.8,13,"CT,IL,IN,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT"
11,West,1836,0.0,0,0.0,0.0,0.0,0.0,0,
12,Border,1840,32.0,217159,9.0,26.46,6786.0,1.21,4,"DE,KY,MD,MO"
13,Confederate,1840,83.0,477383,19.79,58.17,5752.0,1.43,8,"AL,AR,GA,LA,MS,NC,TN,VA"
14,Union,1840,168.0,1718152,71.21,209.38,10227.0,0.8,13,"CT,IL,IN,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT"
15,West,1840,0.0,0,0.0,0.0,0.0,0.0,0,
16,Border,1844,30.0,270324,10.0,27.49,9011.0,1.09,4,"DE,KY,MD,MO"
17,Confederate,1844,75.0,534686,19.77,54.38,7129.0,1.38,8,"AL,AR,GA,LA,MS,NC,TN,VA"
18,Union,1844,161.0,1902482,70.36,193.5,11817.0,0.83,13,"CT,IL,IN,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT"
19,West,1844,0.0,0,0.0,0.0,0.0,0.0,0,
20,Border,1848,30.0,274395,9.54,27.66,9146.0,1.08,4,"DE,KY,MD,MO"
21,Confederate,1848,82.0,573855,19.95,57.85,6998.0,1.42,10,"AL,AR,FL,GA,LA,MS,NC,TN,TX,VA"
22,Union,1848,169.0,2028529,70.51,204.49,12003.0,0.83,15,"CT,IL,IN,IA,ME,MA,MI,NH,NJ,NY,OH,PA,RI,VT,WI"
