Abbrev,State,Census Grouping,Civil War Grouping,1804 EC votes,1804 Votes counted,1804 Vote weight,1804 Vote margin,1804 Swing weight,1804 Party,1808 EC votes,1808 Votes counted,1808 Vote weight,1808 Vote margin,1808 Swing weight,1808 Party,1812 EC votes,1812 Votes counted,1812 Vote weight,1812 Vote margin,1812 Swing weight,1812 Party,1816 EC votes,1816 Votes counted,1816 Vote weight,1816 Vote margin,1816 Swing weight,1816 Party,1820 EC votes,1820 Votes counted,1820 Vote weight,1820 Party,1824 EC votes,1824 Votes counted,1824 Vote weight,1824 Party,1828 EC votes,1828 Votes counted,1828 Vote weight,1828 Vote margin,1828 Swing weight,1828 Party,1832 EC votes,1832 Votes counted,1832 Vote weight,1832 Vote margin,1832 Swing weight,1832 Party,1836 EC votes,1836 Votes counted,1836 Vote weight,1836 Vote margin,1836 Swing weight,1836 Party,1840 EC votes,1840 Votes counted,1840 Vote weight,1840 Vote margin,1840 Swing weight,1840 Party,1844 EC votes,1844 Votes counted,1844 Vote weight,1844 Vote margin,1844 Swing weight,1844 Party,1848 EC votes,1848 Votes counted,1848 Vote weight,1848 Vote margin,1848 Swing weight,1848 Party,1852 EC votes,1852 Votes counted,1852 Vote weight,1852 Vote margin,1852 Swing weight,1852 Party,1856 EC votes,1856 Votes counted,1856 Vote weight,1856 Vote margin,1856 Swing weight,1856 Party,1860 EC votes,1860 Votes counted,1860 Vote weight,1860 Vote margin,1860 Swing weight,1860 Party,1864 EC votes,1864 Votes counted,1864 Vote weight,1864 Vote margin,1864 Swing weight,1864 Party,1868 EC votes,1868 Votes counted,1868 Vote weight,1868 Vote margin,1868 Swing weight,1868 Party,1872 EC votes,1872 Votes counted,1872 Vote weight,1872 Vote margin,1872 Swing weight,1872 Party,1876 EC votes,1876 Votes counted,1876 Vote weight,1876 Vote margin,1876 Swing weight,1876 Party,1880 EC votes,1880 Votes counted,1880 Vote weight,1880 Vote margin,1880 Swing weight,1880 Party,1884 EC votes,1884 Votes counted,1884 Vote weight,1884 Vote margin,1884 Swing weight,1884 Party,1888 EC votes,1888 Votes counted,1888 Vote weight,1888 Vote margin,1888 Swing weight,1888 Party,1892 EC votes,1892 Votes counted,1892 Vote weight,1892 Vote margin,1892 Swing weight,1892 Party,1896 EC votes,1896 Votes counted,1896 Vote weight,1896 Vote margin,1896 Swing weight,1896 Party,1900 EC votes,1900 Votes counted,1900 Vote weight,1900 Vote margin,1900 Swing weight,1900 Party,1904 EC votes,1904 Votes counted,1904 Vote weight,1904 Vote margin,1904 Swing weight,1904 Party,1908 EC votes,1908 Votes counted,1908 Vote weight,1908 Vote margin,1908 Swing weight,1908 Party,1912 EC votes,1912 Votes counted,1912 Vote weight,1912 Vote margin,1912 Swing weight,1912 Party,1916 EC votes,1916 Votes counted,1916 Vote weight,1916 Vote margin,1916 Swing weight,1916 Party,1920 EC votes,1920 Votes counted,1920 Vote weight,1920 Vote margin,1920 Swing weight,1920 Party,1924 EC votes,1924 Votes counted,1924 Vote weight,1924 Vote margin,1924 Swing weight,1924 Party,1928 EC votes,1928 Votes counted,1928 Vote weight,1928 Vote margin,1928 Swing weight,1928 Party,1932 EC votes,1932 Votes counted,1932 Vote weight,1932 Vote margin,1932 Swing weight,1932 Party,1936 EC votes,1936 Votes counted,1936 Vote weight,1936 Vote margin,1936 Swing weight,1936 Party,1940 EC votes,1940 Votes counted,1940 Vote weight,1940 Vote margin,1940 Swing weight,1940 Party,1944 EC votes,1944 Votes counted,1944 Vote weight,1944 Vote margin,1944 Swing weight,1944 Party,1948 EC votes,1948 Votes counted,1948 Vote weight,1948 Vote margin,1948 Swing weight,1948 Party,1952 EC votes,1952 Votes counted,1952 Vote weight,1952 Vote margin,1952 Swing weight,1952 Party,1956 EC votes,1956 Votes counted,1956 Vote weight,1956 Vote margin,1956 Swing weight,1956 Party,1960 EC votes,1960 Votes counted,1960 Vote weight,1960 Vote margin,1960 Swing weight,1960 Party,1964 EC votes,1964 Votes counted,1964 Vote weight,1964 Vote margin,1964 Swing weight,1964 Party,1968 EC votes,1968 Votes counted,1968 Vote weight,1968 Vote margin,1968 Swing weight,1968 Party,1972 EC votes,1972 Votes counted,1972 Vote weight,1972 Vote margin,1972 Swing weight,1972 Party,1976 EC votes,1976 Votes counted,1976 Vote weight,1976 Vote margin,1976 Swing weight,1976 Party,1980 EC votes,1980 Votes counted,1980 Vote weight,1980 Vote margin,1980 Swing weight,1980 Party,1984 EC votes,1984 Votes counted,1984 Vote weight,1984 Vote margin,1984 Swing weight,1984 Party,1988 EC votes,1988 Votes counted,1988 Vote weight,1988 Vote margin,1988 Swing weight,1988 Party,1992 EC votes,1992 Votes counted,1992 Vote weight,1992 Vote margin,1992 Swing weight,1992 Party,1996 EC votes,1996 Votes counted,1996 Vote weight,1996 Vote margin,1996 Swing weight,1996 Party,2000 EC votes,2000 Votes counted,2000 Vote weight,2000 Vote margin,2000 Swing weight,2000 Party,2004 EC votes,2004 Votes counted,2004 Vote weight,2004 Vote margin,2004 Swing weight,2004 Party,2008 EC votes,2008 Votes counted,2008 Vote weight,2008 Vote margin,2008 Swing weight,2008 Party,2012 EC votes,2012 Votes counted,2012 Vote weight,2012 Vote margin,2012 Swing weight,2012 Party,2016 EC votes,2016 Votes counted,2016 Vote weight,2016 Vote margin,2016 Swing weight,2016 Party,2020 EC votes,2020 Votes counted,2020 Vote weight,2020 Vote margin,2020 Swing weight,2020 Party
AL,Alabama,South,Confederate,,,,,,,,,,,,,,,,,,,,,,,,,3,NoPop,,Democratic-Republican,5,13603,0.71,Democratic-Republican-Jackson,5,18618,1.25,14858,1.48,Democrat,7,14291,2.26,14281,2.17,Democrat,7,37296,1.00,3980,8.99,Democrat,7,62511,0.95,-5481,-10.48,Democrat,9,63403,1.44,11399,7.76,Democrat,9,61655,1.49,-691,-129.20,Democrat,9,44147,2.24,11280,8.52,Democrat,9,75291,1.68,18187,6.77,Democrat,9,90122,1.58,-20834,-6.67,Democrat-Breckenridge,,,,,,,8,149594,1.05,3746,41.57,Republican,10,169716,1.04,10828,16.33,Republican,10,171699,1.34,-34281,-6.66,Democrat,10,152048,1.64,-34964,-7.15,Democrat,10,153624,1.63,33292,7.54,Democrat,10,175085,1.62,-60137,-4.72,Republican,11,232543,1.29,53151,5.63,Democrat,11,194580,1.76,-74625,-4.60,Democrat,11,159692,2.16,-41517,-8.30,Democrat,11,108785,2.87,-57325,-5.45,Democrat,11,105152,3.22,-48830,-6.94,Democrat,12,117959,2.88,59758,5.69,Democrat,12,130728,3.20,70747,5.92,Democrat,12,237638,2.55,-85409,-7.08,Democrat,12,166593,3.95,-67961,-9.68,Democrat,12,248982,3.34,-7072,-117.62,Democrat,11,245354,3.36,173235,4.75,Democrat,11,275244,3.44,202838,4.66,Democrat,11,294219,3.51,208542,4.96,Democrat,11,244743,4.06,154378,6.44,Democrat,11,214980,4.70,-130513,-7.74,Dixiecrat,11,426120,3.00,-125844,-10.17,Democrat,11,496698,2.59,-85150,-15.09,Democrat,11,564478,2.50,80322,17.55,Democrat,10,689817,1.90,-268353,-4.89,Republican,10,1049917,1.30,-494846,-2.75,American Independent,9,1006093,1.29,471778,2.76,Republican,9,1182850,1.15,155100,8.79,Democrat,9,1341929,1.08,17462,82.88,Republican,9,1441713,1.08,320950,4.83,Republican,9,1378476,1.11,266070,5.76,Republican,9,1688060,1.03,-114203,-15.30,Republican,9,1534349,1.05,-106879,-15.07,Republican,9,1666272,1.06,248562,7.09,Republican,9,1883449,1.09,482461,4.24,Republican,9,2099819,1.05,-453067,-4.85,Republican,9,2074338,1.04,-460229,-4.69,Republican,9,2123372,1.08,588708,3.88,Republican,9,2323282,1.14,-591546,-4.48,Republican
AK,Alaska,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,60762,6.33,1144,336.14,Republican,3,67259,5.86,21399,18.41,Democrat,3,83035,4.92,2189,186.47,Republican,3,95219,4.55,22382,19.37,Republican,3,123574,3.68,-27497,-16.53,Republican,3,158445,3.04,44270,10.90,Republican,3,207605,2.49,76370,6.77,Republican,3,200116,2.55,46667,10.94,Republican,3,258506,2.25,-23706,-24.56,Republican,3,241620,2.22,-42366,-12.67,Republican,3,285560,2.06,88394,6.65,Republican,3,312598,2.18,79864,8.54,Republican,3,326197,2.24,-70247,-10.42,Republican,3,300495,2.40,-42036,-17.12,Republican,3,318608,2.39,46933,16.24,Republican,3,359530,2.46,-36173,-24.42,Republican
AZ,Arizona,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,23722,3.58,3375,25.18,Democrat,3,58021,1.80,12646,8.28,Democrat,3,66562,2.27,7470,20.24,Republican,3,73961,2.22,4281,38.40,Republican,3,91254,2.28,13996,14.86,Republican,3,118251,1.90,43160,5.20,Democrat,3,124163,2.08,53289,4.84,Democrat,3,150039,1.88,41237,6.84,Democrat,4,137634,2.63,24639,14.67,Democrat,4,177065,2.08,17654,20.82,Democrat,4,260570,1.79,43514,10.69,Republican,4,290173,1.61,64110,7.29,Republican,4,398491,1.29,44460,11.53,Republican,5,480770,1.37,-4782,-137.29,Republican,5,486936,1.40,96207,7.07,Republican,6,653505,1.33,204272,4.24,Republican,6,742719,1.22,-123040,-7.39,Republican,6,873945,1.10,282845,3.41,Republican,7,1025897,1.18,347562,3.47,Republican,7,1171873,1.02,248512,4.80,Republican,8,1487006,1.04,-29036,-53.48,Republican,8,1404405,1.02,31215,45.86,Democrat,8,1532016,1.02,96311,16.27,Republican,10,2012585,1.13,210770,10.78,Republican,10,2293475,1.06,-195404,-12.49,Republican,11,2299254,1.15,-208422,-12.66,Republican,11,2573165,1.09,91234,30.63,Republican,11,3387326,0.96,10457,309.68,Democrat
AR,Arkansas,South,Confederate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3714,4.29,1046,14.66,Democrat,3,11839,2.16,-1519,-16.21,Democrat,3,15150,2.01,3942,7.48,Democrat,3,16888,1.82,-1714,-17.36,Democrat,4,19577,2.24,4769,8.95,Democrat,4,32642,1.72,11178,4.90,Democrat,4,54152,1.17,-8669,-7.13,Democrat-Breckenridge,,,,,,,5,41190,2.39,3034,32.08,Republican,6,79300,1.34,3446,30.79,Republican,6,96946,1.42,-19437,-7.04,Democrat,6,107290,1.40,-18339,-8.17,Democrat,7,125779,1.40,21536,8.15,Democrat,7,157058,1.27,-26310,-7.56,Republican,8,148117,1.47,40762,5.33,Democrat,8,149347,1.67,-72591,-3.44,Democrat,8,127866,1.96,-36342,-6.89,Democrat,9,116421,2.20,-17574,-14.55,Democrat,9,151822,1.83,-30391,-9.13,Democrat,9,125104,2.04,43229,5.90,Democrat,9,170104,1.85,63332,4.96,Democrat,9,183637,2.47,-36292,-12.50,Democrat,9,138532,3.56,-44231,-11.15,Democrat,9,197693,3.16,-41445,-15.05,Democrat,9,220562,3.05,161135,4.18,Democrat,9,179423,4.31,114726,6.74,Democrat,9,200743,4.21,116501,7.26,Democrat,9,212954,3.82,85414,9.52,Democrat,9,242475,3.41,98700,8.38,Democrat,8,404800,2.30,-49145,-18.93,Democrat,8,406572,2.30,-26990,-34.62,Democrat,8,428509,2.39,30541,33.58,Democrat,6,560426,1.41,70933,11.11,Democrat,6,609590,1.34,-46565,-17.53,American Independent,6,647666,1.34,246852,3.51,Republican,6,769396,1.18,230861,3.94,Democrat,6,837582,1.15,5123,188.33,Republican,6,884406,1.17,196128,5.27,Republican,6,827738,1.23,117341,8.71,Republican,6,950653,1.23,168499,6.91,Democrat,6,884262,1.21,149755,7.17,Democrat,6,921781,1.28,50172,23.43,Republican,6,1054945,1.29,102945,13.25,Republican,6,1086617,1.35,-215707,-6.79,Republican,6,1069468,1.35,-253335,-5.68,Republican,6,1130635,1.35,304378,5.01,Republican,6,1219069,1.45,-336715,-5.25,Republican
CA,California,West,Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,76810,0.57,4749,8.99,Democrat,4,110255,0.51,17147,3.19,Democrat,4,119827,0.53,734,84.20,Republican,5,105890,0.82,18216,4.75,Republican,5,108656,0.90,520,187.15,Republican,6,95785,1.11,13290,7.98,Republican,6,155784,0.89,2798,48.92,Republican,6,164245,0.91,-95,-1578.00,Democrat,8,196988,1.02,-13081,-15.34,Republican,8,251339,0.90,7087,32.06,Democrat,9,269609,0.91,147,1664.10,Democrat,9,298419,0.94,1922,146.02,Republican,9,302318,0.93,39770,7.09,Republican,10,331878,0.86,115822,2.45,Republican,10,386597,0.80,86906,3.55,Republican,13,673527,0.55,-174,-2116.76,Progressive,13,999603,0.45,3773,120.28,Democrat,13,944050,0.69,395801,1.66,Republican,13,1281900,0.56,308601,2.31,Republican,13,1796656,0.50,547958,1.64,Republican,22,2267966,0.73,476255,3.46,Democrat,22,2638882,0.72,930405,2.03,Democrat,22,3268791,0.63,526199,3.93,Democrat,25,3520875,0.64,475599,4.75,Democrat,25,4021538,0.57,17865,128.59,Democrat,32,5341603,0.70,777941,4.78,Republican,32,5466355,0.68,607533,6.15,Republican,32,6506578,0.63,35623,115.14,Republican,40,7057586,0.74,1292769,4.06,Democrat,40,7251587,0.75,223346,24.37,Republican,45,8367862,0.78,1126249,5.77,Republican,45,7867117,0.87,-139960,-48.73,Republican,45,8587063,0.84,1441197,5.02,Republican,47,9505423,0.85,1544490,5.24,Republican,47,9887064,0.81,352684,22.69,Republican,54,11131721,0.94,1490751,7.03,Democrat,54,10019484,0.96,1291455,7.48,Democrat,54,10965856,0.96,-1293774,-8.18,Democrat,55,12421353,1.01,-1235659,-10.12,Democrat,55,13561900,0.99,3262692,4.11,Democrat,55,13038547,1.01,3014327,4.38,Democrat,55,14181595,0.99,-4269978,-3.27,Democrat,55,17500871,0.93,5103821,3.17,Democrat
CO,Colorado,West,Postbellum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,NoPop,,NoPop,,,3,53546,1.40,2803,26.74,Republican,3,66519,1.13,-8361,-9.00,Republican,3,91946,0.93,13223,6.44,Democrat,4,93891,1.16,-14964,-7.27,Populist,4,189539,0.66,-134734,-0.93,Democrat,4,221408,0.57,-29661,-4.22,Democrat,5,243667,0.58,34556,4.11,Republican,5,263858,0.58,-2951,-52.23,Democrat,6,266880,0.64,41926,4.05,Democrat,6,294375,0.71,76508,2.74,Democrat,6,292053,1.04,68312,4.43,Republican,6,342260,0.96,119933,2.74,Republican,6,392242,1.06,120741,3.44,Republican,6,457696,0.98,61260,7.33,Democrat,6,488684,1.06,113754,4.53,Democrat,6,549004,1.03,-14022,-40.21,Republican,6,505039,1.07,-34400,-15.76,Republican,6,515237,1.07,27574,19.99,Democrat,6,630103,1.11,134278,5.20,Republican,6,663074,1.06,130482,5.37,Republican,6,736246,1.04,71613,10.74,Republican,6,776986,1.01,179257,4.39,Democrat,6,811199,1.01,74171,11.01,Republican,7,953884,1.06,267209,3.79,Republican,7,1081135,0.98,-124014,-8.55,Republican,7,1184415,0.95,284291,3.96,Republican,8,1295381,1.06,366844,3.76,Republican,8,1372394,0.99,106724,12.76,Republican,8,1569180,0.99,66831,23.23,Democrat,8,1510704,0.95,-20696,-69.17,Republican,8,1741368,0.90,145521,10.77,Republican,9,2130330,0.96,99523,20.56,Republican,9,2401462,0.91,215004,10.22,Democrat,9,2569518,0.84,137858,15.66,Democrat,9,2780247,0.82,-136386,-16.76,Democrat,9,3256980,0.81,439745,6.03,Democrat
CT,Connecticut,Northeast,Union,9,NoPop,,NoPop,,Federalist,9,NoPop,,NoPop,,Federalist,9,NoPop,,NoPop,,Fusion,9,NoPop,,NoPop,,Federalist,9,4599,1.29,Democratic-Republican,8,10647,1.45,Democratic-Republican-Adams,8,19378,1.92,-9381,-3.75,National Republican,8,32833,1.12,-6886,-5.15,National Republican,8,38093,1.12,495,82.61,Democrat,8,56879,1.20,6317,10.39,Whig,6,64616,0.94,-2991,-19.72,Whig,6,62398,0.98,3267,18.22,Whig,6,66781,0.99,2890,22.16,Democrat,6,80329,1.05,-7720,-10.64,Whig,6,80745,1.18,28057,3.30,Republican,6,86958,1.19,2388,43.48,Republican,6,98632,1.20,2944,39.67,Republican,6,96009,1.11,4619,22.97,Republican,6,122134,1.13,-2894,-47.30,Democrat,6,132802,1.13,2656,56.44,Republican,6,137257,1.10,1284,117.23,Democrat,6,153978,1.11,-336,-507.16,Republican,6,164595,0.99,5363,30.41,Democrat,6,174390,1.07,53545,3.49,Republican,6,180195,1.04,28558,6.58,Republican,7,191128,1.04,38180,5.21,Republican,7,190003,1.14,44660,4.83,Republican,7,190398,1.04,6237,31.80,Democrat,7,213874,1.14,-6728,-36.32,Republican,7,365518,0.97,108517,3.25,Republican,7,400295,0.96,136138,2.82,Republican,7,553031,0.88,44574,10.89,Republican,8,594183,1.01,-6788,-88.23,Republican,8,690723,1.00,103444,6.65,Democrat,8,781502,0.96,55802,13.47,Democrat,8,831990,0.87,44619,16.20,Democrat,8,883518,0.83,-14457,-50.85,Republican,8,1096911,0.85,129363,7.19,Republican,8,1117121,0.84,306758,3.05,Republican,8,1222883,0.84,91242,11.24,Democrat,8,1218578,0.86,435273,2.41,Democrat,8,1256232,0.87,-64840,-16.79,Democrat,8,1384277,0.84,255265,4.53,Republican,8,1381526,0.88,-71366,-16.99,Republican,8,1406285,0.91,135478,9.50,Republican,8,1466900,0.94,321280,4.29,Republican,8,1443394,0.94,73657,18.49,Republican,8,1616332,0.96,104005,14.93,Democrat,8,1392614,1.03,252631,5.67,Democrat,8,1459525,1.07,-254921,-6.15,Democrat,7,1578769,1.01,-163662,-9.72,Democrat,7,1646797,1.04,368344,4.64,Democrat,7,1558960,1.08,270191,6.22,Democrat,7,1644920,1.08,-224357,-7.93,Democrat,7,1824273,1.13,365389,5.64,Democrat
DE,Delaware,South,Border,3,NoPop,,NoPop,,Federalist,3,NoPop,,NoPop,,Federalist,4,NoPop,,NoPop,,Fusion,4,NoPop,,NoPop,,Federalist,4,NoPop,,Democratic-Republican,3,NoPop,,split,3,NoPop,,NoPop,,National Republican,3,8386,1.65,-166,-80.11,National Republican,3,8895,1.79,-582,-26.35,Whig-Harrison,3,10852,2.36,1095,22.48,Whig,3,12247,2.49,-301,-98.00,Whig,3,12423,2.47,530,56.15,Whig,3,12673,2.60,25,1280.94,Democrat,3,14589,2.89,1729,23.75,Democrat,3,16115,2.95,-3451,-13.43,Democrat-Breckenridge,3,16922,3.07,-612,-84.82,Democrat,3,18571,3.18,-3343,-17.47,Democrat,3,21822,2.43,924,57.41,Republican,3,24133,2.86,-2629,-26.03,Democrat,3,29528,2.54,-1142,-65.63,Democrat,3,29984,2.51,4004,18.80,Democrat,3,29764,2.86,-3464,-24.60,Republican,3,37235,2.19,504,161.79,Democrat,3,38456,2.43,3876,24.14,Republican,3,41989,2.24,3683,25.51,Republican,3,43856,1.94,4358,19.56,Republican,3,48007,1.93,2959,31.25,Republican,3,48694,1.75,6633,12.81,Democrat,3,51810,2.02,-1258,-83.25,Republican,3,94875,1.59,12947,11.68,Republican,3,90885,1.81,18996,8.65,Republican,3,105891,1.96,32217,6.45,Republican,3,112901,1.99,-2754,-81.55,Republican,3,127603,2.02,12466,20.69,Democrat,3,136374,2.07,13159,21.43,Democrat,3,125361,2.16,11419,23.74,Democrat,3,139073,1.98,-1775,-155.31,Republican,3,174025,2.00,6744,51.73,Republican,3,177988,1.97,18636,18.80,Republican,3,196683,1.96,3217,119.53,Democrat,3,201320,1.96,44626,8.83,Democrat,3,214367,1.90,7520,54.28,Republican,3,235516,1.84,48074,9.02,Republican,3,235834,1.93,12765,35.62,Democrat,3,235668,2.05,5498,87.74,Republican,3,254572,2.03,50534,10.22,Republican,3,249891,2.04,30992,16.48,Republican,3,289620,2.01,23741,24.53,Democrat,3,270845,1.98,41293,13.00,Democrat,3,327622,1.79,-42780,-13.74,Democrat,3,375190,1.82,-28492,-23.93,Democrat,3,412412,1.78,103085,7.10,Democrat,3,413921,1.74,77100,9.34,Democrat,3,443814,1.72,-50476,-15.10,Democrat,3,504346,1.75,95665,9.23,Democrat
DC,District of Columbia,South,Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,198597,1.98,140995,2.79,Democrat,3,170578,2.39,-108554,-3.76,Democrat,3,163421,2.65,-92401,-4.69,Democrat,3,168830,2.69,109945,4.14,Democrat,3,173889,2.77,-106918,-4.51,Democrat,3,211288,2.45,-151399,-3.41,Democrat,3,192877,2.65,-131817,-3.87,Democrat,3,227572,2.56,171921,3.39,Democrat,3,185726,2.89,140881,3.81,Democrat,3,201894,2.91,-153850,-3.82,Democrat,3,227586,3.00,-181714,-3.75,Democrat,3,265853,2.75,228433,3.21,Democrat,3,293764,2.45,245689,2.93,Democrat,3,311268,2.45,-270107,-2.82,Democrat,3,344356,2.56,298737,2.96,Democrat
FL,Florida,South,Confederate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7203,4.26,1037,28.70,Whig,3,7193,4.58,1443,22.19,Democrat,3,11191,3.77,1525,26.93,Democrat,3,13301,3.58,-3476,-13.33,Democrat-Breckenridge,,,,,,,3,NoPop,,NoPop,,Republican,4,33190,2.13,2336,30.28,Republican,4,46776,1.97,922,98.98,Republican,4,51618,1.94,-4310,-23.19,Democrat,4,59990,1.67,3738,26.85,Democrat,4,66500,1.71,-13028,-8.72,Republican,4,35471,3.07,25310,4.30,Democrat,4,46488,2.68,-21458,-5.81,Democrat,4,39649,3.16,-20918,-5.99,Democrat,5,38705,3.67,-18135,-7.83,Democrat,5,49360,3.12,-20450,-7.54,Democrat,6,50837,3.34,30537,5.57,Democrat,6,80734,2.59,41373,5.06,Democrat,6,145681,2.08,-45662,-6.62,Democrat,6,109154,3.01,-31450,-10.45,Democrat,6,253672,1.64,42404,9.81,Republican,7,276252,1.90,137137,3.82,Democrat,7,327365,1.84,170869,3.52,Democrat,7,485492,1.36,233176,2.82,Democrat,8,482592,1.50,196162,3.68,Democrat,8,577643,1.27,87708,8.38,Democrat,10,989337,1.18,99086,11.74,Republican,10,1124220,1.04,163478,7.14,Republican,10,1544176,0.83,46776,27.40,Republican,14,1854481,0.99,42599,43.15,Democrat,14,2187805,0.87,210010,9.07,Republican,17,2583283,0.95,1139642,2.16,Republican,17,3150631,0.82,166469,15.48,Democrat,17,3687026,0.74,627476,4.36,Republican,21,4180051,0.87,1281534,2.82,Republican,21,4302313,0.83,962184,3.72,Republican,25,5314392,0.91,-100612,-48.23,Republican,25,5303794,0.84,302334,14.80,Democrat,25,5963110,0.82,537,9121.05,Republican,27,7609810,0.81,380978,16.11,Republican,27,8390744,0.79,236450,27.87,Democrat,29,8474179,0.82,74309,93.64,Democrat,29,9420039,0.78,112911,65.25,Republican,29,11067456,0.77,-371686,-22.97,Republican
